	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.01667934643105955	-0.10255839744688625	-0.31641256935720874	-0.10831778783225288	0.17825450529752362	-0.17992082732662437	0.23333274559416617	0.14824384113624453	0.2563792433081901	0.31255675300388297	0.24937959248946565	-0.07493139087029202	-0.11685032069441177	-0.0049425099334433715	0.24420921135344895	0.03184635957397024	-0.0672127842865405	0.15161222272499653	0.08234454995878343	0.08963461958780869	-0.013346521643361533	-0.056185795081057525	0.1548684736273337	0.08263131971165757	0.4104697342037864	0.20641804807758068	-0.004815735008759931	-0.10831412544321886	0.09506674949960883	-0.2704349522762033	0.37765862104010167
AgaR	-0.3065462929217299	-0.11968622924649053	0.2990807996996259	-0.29484576458099293	-0.22135487339164628	0.17488446259462015	-0.21934648497554884	0.07713208705396472	-0.05212126049453989	0.03817809008455783	-0.05607004675218521	0.1994052316195299	-0.07944546971090431	-0.11963065299494584	0.15594858476947085	-0.18070580623397872	0.025515720254194726	-0.022597822892689336	0.0950734968743971	0.22332989388299893	0.09446241811155254	0.10463747786195134	-0.4452880209114761	-0.23250493609212117	-0.20890361345032835	-0.154923199920759	0.056047013328275025	0.03245528972737658	-0.046519532580932985	0.0018798210968384217	0.08330086412270944
AmtR	-0.2766120055833919	-0.13505608264014082	0.28859088401759597	-0.4717965102497243	-0.4435668504226418	0.21199085898642292	-0.31676159630874984	-0.166556726393528	-0.08101489322610636	0.10585371193106753	-0.05290233395805247	0.05982805956070041	-0.03900882662289319	-0.15953594255609702	-0.01913935369382898	-0.08865118924662453	-0.16520322861100906	-0.002460738538606037	0.07007361612559064	0.12032220481603294	0.061944751012725986	0.05225469217370626	-0.09647724189824686	-0.227204021698417	-0.167995119221003	-0.06064293682182335	0.03667327789174965	0.08583079781016523	-0.14196134507943067	0.18383353898737118	-0.21988855319762504
AraR	-0.37664984207760543	-0.06326056901952626	0.5250381261849247	-0.23290681975120328	-0.4458971664298701	0.31011305746508383	-0.44718246892169217	-0.17640523298225363	-0.35401308772738804	-0.29935966052865204	-0.2652385604072735	0.053861826474314776	-0.05685189666912343	-0.11669679857632552	-0.0628028534810905	-0.12965439012303406	-0.05452670451840832	-0.2059825943599648	0.06821532346306008	0.2936542359600325	-0.04591183728677229	0.2264991807371311	-0.1241362464014985	-0.19943349653203865	-0.5336073897295733	-0.2935170969499296	0.013173057909194836	0.21866003329466782	-0.15656536059866535	0.01977053222536961	-0.1868502269563663
ArgR	-0.2874032286755913	-0.030247194709165853	0.47848014425372337	-0.011125769115813124	-0.3430258692366777	0.36059490754689866	-0.46240814600723307	-0.14972772602363166	-0.28643999326039987	-0.3773965579364449	-0.27709325369803756	0.0638808795107957	0.0044758337567252	-0.04320435407337568	-0.05545875932925025	-0.3174911878137796	0.08366953025827224	-0.18901105869082763	0.054193443783529124	0.15192705876092968	0.02439769788037368	0.1253761909536912	-0.254748212111298	-0.1304397529083373	-0.5839251232959866	-0.2550168269174078	0.12063171416405462	0.2628074842798849	-0.33804896918600885	-0.14033836809155803	-0.2107538456239936
BioQ	0.158923705287923	-0.01188982099214749	-0.20784217381832004	0.13755707174291693	0.2150449979440164	-0.06969095772049451	0.19925383103208852	0.09039477584577099	0.051313256264863764	0.15202937224685878	0.07982024122800165	-0.026967419908140517	0.09107081627064291	0.034889737608986955	0.1364607646566199	0.3268911310976996	0.06887984650087473	0.010084394308360717	-0.21001331119879993	-0.15911375533736238	-0.0937214010906051	-0.03197487720686757	-0.049061805606958296	0.05950544557554558	0.2163866589315081	0.1584513104241987	-0.22011181319332576	-0.10019218886437699	0.25145629931754504	-0.12750372749935088	0.3351083244208842
BirA	-0.11356626630288368	-0.01866099292753909	0.3388502347831327	0.1620451008482175	-0.15171782220441934	0.26848250830895887	-0.35283566908587516	-0.14621378685333172	-0.4063687692021426	-0.4947320235879136	-0.349310474121442	0.05814875269547648	0.030660967858084382	-0.17614082814530085	-0.2944672737497488	-0.18005753428336355	0.07042678648183864	-0.3205154625349453	-0.004398833979083886	0.058686876920634706	0.005803264119703673	0.12028602828371691	0.17725909632044218	-0.0894621039676555	-0.422871647610788	-0.2494817498107414	0.00044318160594259396	0.14502901777852065	-0.13551494978602852	0.12066506799188696	-0.14310629556280152
CadR-PbrR	-0.10272405375449258	-0.003108040926017502	0.20732300874700438	-0.24172652972883837	-0.23003069018114733	0.12924429034306614	-0.22519592610602965	0.0272610852168549	0.06834867877386865	0.026926097334986996	0.0413409474074859	0.15007486811486698	0.0842863701774608	-0.09394420974478448	-0.04725336138699722	0.10769417779594516	-0.01528775155429878	0.022685619312302632	-0.16483461449062764	0.03709869507351576	-0.04465325848844471	0.07316751295511054	-0.1559660531711135	-0.009282245465226935	-0.0925130776458015	-0.06410737153409131	0.05483212886779867	-0.09313742489867578	0.008356872443992244	0.14241265343979354	0.09391369973296777
CblR	0.13342434178698265	-0.09902042244795581	-0.3276371963231988	-0.007845754274583363	0.11946432070509315	-0.2061989236595575	0.12888923600341076	0.038603452389689596	0.26882101214107335	0.31164400394168	0.241008873173569	-0.06996996044239441	-0.06537359672432809	0.0469051496885648	-0.06896347677587503	0.10267007017867759	-0.05727486683307529	0.24186206450859912	0.014286668492805526	-0.12655132659370233	0.06326083667520692	-0.13659991880527145	0.027549246548873675	0.08170549440753884	0.30516977644108073	0.19123255106444698	-0.07185983609379654	0.006460159273707983	-0.07745050927054804	0.038828028862283266	0.029537822187991707
CcpA	-0.15333688328110454	-0.11191265037560112	0.150013210896904	0.0365336452739959	-0.07709322416718942	-0.021779438281934446	0.01774985452427551	-0.09399600236238781	-0.02222011631609332	-0.10362219784450928	0.04986214583357081	-0.014226012264060546	-0.11395528373835286	-0.08055317297929751	-0.1746211249585723	0.27065353938183356	-0.06391967720585215	-0.08906459011882306	-0.0655054127254032	-0.046123593272574426	-0.07419699918391236	0.026732992121614303	0.09955046462083038	-0.021828871918909077	-0.070557732423798	-0.1953927027543317	-0.0014686832289958055	-0.06402776026140079	-0.020991807219060462	0.3630323466497786	-0.12235684132479648
