	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.01407968877673488	-0.09691801832660074	-0.21304374869240209	0.10885784047748237	0.26206880953226164	0.03708771790942658	0.25644235520038783	0.3544452085352953	0.23726832354087962	0.19430057479671947	0.12895290146104846	0.09417439823365216	-0.08249095940877223	0.0029059333851732022	0.38895686232530174	0.18235294117647058	0.007673131035913791	0.07207503837999218	-0.012476568429213733	0.05718589499973747	0.04041291212397751	-0.08487799404150592	0.0820216833608763	0.3193412584994553	0.13361677344205009	-0.16476413344164695	-0.2961640444106656	0.09506674949960883	-0.2704349522762033	0.37765862104010167
AgaR	-0.11291458039462603	0.08504923650235716	0.14587986497107736	-0.10488334237655995	0.02182634485068138	0.015826882516921024	0.11583791526026282	0.10286349569697342	0.002716530089459469	-0.15452697833625054	-0.04549826776086236	0.014912501539791073	-0.02151765959761283	-0.04981111696702771	-0.01480529600373618	0.03529411764705882	0.04702548158808999	-0.04864818145565941	-0.00653650463071978	0.09905060310322877	0.10776158064524949	0.03222456383358397	-0.12881300652506578	-0.09832829992458081	-0.10723354688410018	-0.10150235702923788	-0.07370845329626262	-0.046519532580932985	0.0018798210968384217	0.08330086412270944
AmtR	-0.013231514754040007	0.10962931968005456	0.2413613720024201	-0.24774823657080847	-0.29867034585828767	0.12218760425442887	-0.09706030895502557	-0.19998209462984518	-0.1657824226412856	-0.23964684548653983	-0.14497305860341383	-0.1769085269887312	0.09774842211425434	-0.17746706120510697	-0.07960409845776158	-0.13529411764705881	-0.04474768482366688	-0.05020393548190639	0.22200988446871148	0.025451294017618493	0.08169791188332093	-0.08559594142207372	-0.14097968241378767	-0.2236725609644639	-0.1054513686662784	-0.19293247883038234	-0.03455190337302824	-0.14196134507943067	0.18383353898737118	-0.21988855319762504
AraR	-0.17459944981848177	-0.0022052524590066677	0.13971648449824994	-0.03754747693977211	-0.4141746842688754	-0.08020876330922641	-0.3221924281873625	-0.30937388210420685	-0.2768144161159199	-0.3101247842695137	-0.11474586518548638	-0.22157251529410465	-0.02537443853206012	-0.1076220976061793	-0.276324513502788	0.020588235294117647	0.028866088028403455	-0.1484798472245659	0.11927599418328329	0.09954270546339022	-0.05119958472027638	0.12046089025030782	-0.14272693122499713	-0.3288808323336929	-0.14886429819452535	0.08430833931663394	0.20708630418460383	-0.15656536059866535	0.01977053222536961	-0.1868502269563663
ArgR	-0.12655321867955957	0.11325385000370397	-0.06651361880905395	0.16309007053716768	-0.31225809370185953	-0.008724858779424487	-0.27502080507511495	-0.2846111387794622	-0.13601583838829942	-0.28442492194121066	-0.13199179418146526	-0.25624959509766887	0.028529984932971545	-0.03179432997895386	-0.2584159837106418	-0.1	0.125845647044556	-0.10735525931382572	0.1146140178824161	0.022186614945327886	0.09097543991912845	0.07444105650085518	-0.0016948313468731807	-0.3379164815046399	0.04963308095515434	0.1428019127894136	0.3473404272545862	-0.33804896918600885	-0.14033836809155803	-0.2107538456239936
BioQ	0.18396329102903317	-0.03754583673795968	-0.3084121661737847	0.2202930005425936	0.30779104384899986	0.04840798186043618	0.17581245176244484	0.1430404685212428	-0.0010783801264217891	0.153827662354528	0.012759944503935021	0.13470450765181013	0.09103581713597143	0.0345293261061757	0.23934545007702035	0.047058823529411764	0.2019576486059936	-0.10013623137192838	-0.15115514805265964	-0.19861131231150295	-0.030863243265786315	-0.052950102679230955	0.11215007702883151	0.30887782278251835	0.2054047757716948	-0.2204225592205929	-0.15301069943870158	0.25145629931754504	-0.12750372749935088	0.3351083244208842
BirA	-0.10578426411050447	0.037342274972512905	0.01682207055657022	0.15973955507325013	-0.2985855284560182	0.13796359647386783	-0.38932237072858566	-0.3226319100909713	-0.3012878826491411	-0.4831399288725536	-0.23563761424811824	-0.13425209956565798	0.0702815961837404	-0.21380832224556715	-0.5095865317038503	0.01764705882352941	0.07965990619911048	-0.3555021422516106	0.12690800238339744	0.008035671466538826	-0.0027894434294327914	0.050078313156959806	-0.1280791620243578	-0.23254023524764733	0.07013395457192778	0.13948519694662725	0.24339820579459975	-0.13551494978602852	0.12066506799188696	-0.14310629556280152
CadR-PbrR	0.03263208189981405	0.13379097033988915	0.10662648217991416	-0.13342376559956592	0.038902915174271475	-0.014130539267518985	0.0461900664190192	0.09864808443500273	0.1508003476024485	0.018641141637791216	0.11474586518548638	0.0971376711979489	0.05689597193471292	0.018050974439664125	-0.04538650298467601	0.5176470588235295	0.06086021032315753	0.0626170416807447	-0.2735107244921293	-0.20610087018322845	0.07371305275383594	-0.0942350437865919	0.17399686078294252	-0.004101386842893042	-0.06921374490390216	-0.10285210437630225	-0.2415358820787386	0.008356872443992244	0.14241265343979354	0.09391369973296777
CblR	0.041419164774932925	-0.1899400906422897	-0.010161096063918214	-0.16353771025501898	0.07535743466969708	0.02151528687991586	-0.08434274832102398	-0.0025217858522939736	0.054947994991339254	0.09733604320600478	0.03690084017648987	0.09795200575302282	-0.10739602455144948	0.08434044307320342	-0.004620674099042317	-0.09705882352941177	-0.1121683696987343	0.17207956570737057	-0.04607201122397461	0.010148110866256277	0.044235253674730204	-0.1549698321129711	0.05254559591577264	0.12915869078284675	-0.016552125800815377	-0.20640282170108507	0.04358383231002516	-0.07745050927054804	0.038828028862283266	0.029537822187991707
CcpA	-0.1816562576873031	-0.22663209886406988	0.09945660471244154	0.09092512208355942	-0.11258661977251734	-0.17440104947102364	-0.04576330263935472	-0.1042586849111124	0.0348045127825292	0.03138180467979858	0.10402036146636821	-0.0040264319667543584	-0.24270562801848816	-0.1756551262708225	-0.23665233529148386	0.1323529411764706	-0.03189965146120658	-0.14446287386579065	0.0846824259141853	-0.1546461673048835	0.017113946716719588	-0.03331038507857492	0.12321016200378743	0.04271461416753624	-0.18800232964472918	0.10825109376455974	-0.05730908987893589	-0.020991807219060462	0.3630323466497786	-0.12235684132479648
