	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.16030145051877262	-0.0026184897797870447	-0.23364131722340678	0.17852156198498442	0.252247848786152	-0.11083679347622788	0.27355828458797216	0.3088762812014634	0.14406782683149255	-0.028198874407788392	0.12624338268322785	-0.029613151147441865	-0.04439229328149446	0.033466771023894525	0.2731804586312571	-0.08108108108108109	-0.018262443148612164	0.04334504227510479	-0.07059030288618165	-0.03801235962985692	0.0052916835977757995	-0.15764580723581875	0.18275862068965518	0.13444650112916623	0.3308858746071849	0.03324797747421471	-0.1929607206310446	-0.274866744099919	0.09506674949960883	-0.2704349522762033	0.37765862104010167
AgaR	-0.35947375836853634	-0.08454230669005773	0.3880272821356875	-0.3827252334737228	-0.2573127561601972	0.264439706230751	-0.2431965707435833	0.11657210617129844	-0.06734963485728392	-0.13110092636809348	-0.08350286423444273	0.23473547349667537	-0.039643814269811006	-0.08728427318061077	0.11171557790688481	-0.20800962906226064	0.04061276165130233	-0.007502505879704741	0.03547088582089989	0.30735822332453344	0.12463944657183765	0.12300497758594922	-0.2536945812807882	-0.2609851074201972	-0.33462663438863405	-0.20353291641587007	0.060006409245010564	0.03859477685147328	-0.046519532580932985	0.0018798210968384217	0.08330086412270944
AmtR	-0.24372404110299759	-0.05448453781789272	0.4143817254579234	-0.4380264603552463	-0.46165471097519767	0.32744797316674773	-0.30285998847270645	-0.1710898469479089	-0.1995563200101462	-0.17708586618586677	-0.19130203475748744	0.03352865117283211	0.05778479973776554	-0.14103853502926977	0.0033161385409855868	-0.06072874493927125	-0.022119325546038498	-0.11413280539258475	0.16665110715606568	0.19526447293289353	0.1275915365466399	-0.027401177972238375	-0.06256157635467981	-0.21664068081038995	-0.40609653035401966	-0.13303271747890758	-0.015525213454292738	0.12505837415567736	-0.14196134507943067	0.18383353898737118	-0.21988855319762504
AraR	-0.4772783666612604	-0.09467461523793845	0.4602426464170376	-0.44102499542208384	-0.5721973742786456	0.2958266312547538	-0.5419271797580754	-0.23223643014140824	-0.2693237618922845	-0.20256872581826732	-0.14812691776907583	0.06409698481054434	-0.0453125604849142	-0.136877322759103	-0.11026341266344668	-0.18481234270707955	-0.04645758343324605	-0.08159108672404101	0.15752939460791351	0.3371434697255126	-0.03987636132428896	0.253677501093325	-0.07339901477832513	-0.2897810275125987	-0.5374625228356869	-0.19649360851246161	0.15506615244294047	0.30209807970845926	-0.15656536059866535	0.01977053222536961	-0.1868502269563663
ArgR	-0.4781088019914214	-0.09577936854502955	0.33883464881108244	-0.3084886009888299	-0.5080668188719755	0.3199915210912854	-0.5065973972566247	-0.2224032520442041	-0.17279664432269307	-0.15462553083328653	-0.15209450271273497	0.08317569512534391	-0.035860493544640944	-0.03786829646467883	-0.08835811406591226	-0.34544260860050335	0.03306699173401451	-0.06828099323645852	0.15534918998321973	0.30806027743848374	0.06018132759247039	0.18702699273369414	0.04876847290640394	-0.2068925260623701	-0.5284460321486857	-0.07714673386315177	0.26839219912266266	0.373356626036829	-0.33804896918600885	-0.14033836809155803	-0.2107538456239936
BioQ	0.1534385134959403	0.05565163611974066	-0.29618075038342123	0.2604548159677715	0.2776222616521836	-0.060023192309131036	0.211215720806975	0.11427893993919126	0.04736266750749357	0.1845698065857599	0.07191856522991577	-0.012008364727550326	0.10074307230932408	0.020540452056993463	0.1624040920758497	0.2911697122223438	0.1392887528609557	-0.03467104876634317	-0.2361705286774733	-0.2225751787877437	-0.07317194789172081	0.00446498341351702	-0.2399014778325123	0.13827448751934357	0.3042347919982383	0.25056875567480436	-0.25345354459909786	-0.12142426322305283	0.25145629931754504	-0.12750372749935088	0.3351083244208842
BirA	-0.2682380930413849	-0.054898508583078105	0.19988029775932367	-0.10602453763047061	-0.31260279131034824	0.25007543734959287	-0.44219888009234165	-0.21286137719066503	-0.2426566679171233	-0.28741225947575866	-0.157373376353543	0.060600468227361454	0.0027857411008668153	-0.18456051503426638	-0.37137139307686734	-0.29642192800087536	0.032996993868362495	-0.1595537664754104	0.1330199406028545	0.1309157411044293	0.044477206013606815	0.11618790469566877	0.07241379310344828	-0.2031628507191315	-0.319496623213078	-0.036130012956407304	0.18940130936360264	0.25355200622704743	-0.13551494978602852	0.12066506799188696	-0.14310629556280152
CadR-PbrR	-0.18683797408707162	0.000835422929741581	0.2337959326176137	-0.23786852224867241	-0.17722437589556775	0.13649796132121347	-0.2313675585015051	-0.006916758413534547	0.043584621478965586	0.02581491159553575	0.008354782270405927	0.183310243863843	0.04709074616523474	-0.06130515463069416	-0.04550117762772816	0.15833242149031623	0.02345628477999209	-0.014278618214340774	-0.20401662923771963	0.010771058364218588	0.03829882711579995	0.04817398175798184	-0.00541871921182266	0.06276853125017127	-0.1518889079310275	-0.07774864569837076	0.03666708632819046	-0.09109773717705125	0.008356872443992244	0.14241265343979354	0.09391369973296777
CblR	0.19606004571150257	-0.07876666637578458	-0.25017518921682314	0.1623100164804981	0.2491929440430671	-0.1782989812840559	0.1747909829625845	0.053112033263575754	0.16669693381669076	0.15741817298478247	0.12712381937988496	-0.08717848336786069	-0.059924608031896004	0.08166853382512733	-0.023010678111196285	0.19838056680161945	-0.07183880951866871	0.15219369070258187	-0.12998303088634147	-0.1545239790655567	0.04891424353906351	-0.19753033466834846	0.1921182266009852	0.09385325540411542	0.261258529857564	0.09536221830016017	-0.2213702017198158	-0.04860947589260751	-0.07745050927054804	0.038828028862283266	0.029537822187991707
CcpA	-0.18255113224759167	-0.16206706077028618	0.0785870148006833	0.02331303790514558	-0.09336038274846438	-0.10580929936782255	-0.016482572449572293	-0.1450012704047928	0.027065907505034105	0.037028050966024066	0.09270061781015866	-0.03816240852772069	-0.208189879693966	-0.12266090150783411	-0.22122762148914957	0.3108655213918372	-0.07493971496705322	-0.12540258759916542	-0.011010857109599672	-0.0708594161779882	-0.017562976786157633	0.00468823258419287	-0.23251231527093597	0.08134317468116023	0.01220946497187176	-0.13128819334632374	0.1251316181342765	-0.027067065724987828	-0.020991807219060462	0.3630323466497786	-0.12235684132479648
