	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	-0.032827140376824694	-0.1784822999053491	-0.49997864730689157	-0.16334254992319508	0.15926063680921382	-0.21486681257673623	0.2037674837184366	0.1713325427262467	0.36401927562009156	0.5216955064308297	0.28966892003425665	-0.03844562473243357	-0.1647646750267508	-0.04820644385977889	0.3479963983223481	0.2776057791537668	-0.037984716256300385	0.21269127464941398	0.1220193967593908	0.12177459648925647	0.024908921010630847	-0.03049962091594283	0.08648272189308295	0.494642775659842	0.39365005667153724	0.019935943229790597	-0.15298856140617922	0.09506674949960883	-0.2704349522762033	0.37765862104010167
AgaR	-0.1444671761961146	-0.022564518669056698	0.08765280521005712	-0.03953917050691244	0.05779205410341708	-0.047429669567074145	0.13048164914451982	0.05489683526866195	-0.01751808784871984	0.004515086121230278	-0.04517273381868463	0.021748125586386356	-0.05506303994972277	-0.09511614410530683	0.02422593344821665	0.12693498452012383	0.0024331351921129452	-0.07329049741436881	0.08087581151606951	0.04350530382356867	0.05137355091994965	0.07180951913641034	-0.11401571792669006	-0.05637477438980702	-0.11628453208428355	-0.0630337104708913	-0.058285920999755145	-0.046519532580932985	0.0018798210968384217	0.08330086412270944
AmtR	-0.018539500533167278	-0.039697431531213655	0.024811829391982065	-0.3019231950844854	-0.27582755707584555	-0.020573319809961032	-0.12064885914249475	-0.18547021167298666	-0.08471285992299443	0.08819946010360946	-0.04252585104448015	-0.07933380929198676	-0.012773386636904225	-0.19691051782400604	-0.10895754875326522	-0.07327141382868937	-0.17868944850877472	0.028891573913401372	0.1125462674821979	-0.05299858993709686	0.02172132914288604	-0.0014385551308885717	-0.15159671439751973	0.00992608934435613	0.010572314247087902	-0.11155402969235576	-0.052389615692528306	-0.14196134507943067	0.18383353898737118	-0.21988855319762504
AraR	-0.12831117321205737	-0.0043266009891815595	0.32780120642716065	0.16970814132104456	-0.2351896308968767	0.054833715902418194	-0.24698969431557352	-0.24161542978449282	-0.4136410442097569	-0.4453929399164937	-0.29802142770970275	-0.14306726926191118	-0.026043293632108173	-0.06632843586893584	-0.24842426274435508	0.1021671826625387	0.01312966095096376	-0.30695163488756066	0.05544938336916913	0.10640251747326956	-0.05168410674529979	0.13742001988100733	-0.06778781485508666	-0.43688011116196235	-0.30223818432588184	-0.06400454697275813	0.13491315457553	-0.15656536059866535	0.01977053222536961	-0.1868502269563663
ArgR	-0.03913420052077435	0.11486445007367577	0.3686702610366733	0.4097204301075269	-0.08177627501223828	0.21193615544760583	-0.22277579166352784	-0.2005041554812558	-0.3427779076580701	-0.580073101412733	-0.34040999230323865	-0.17053872629020406	0.10011825826898493	-0.026810174224638293	-0.21109292742534516	0.038183694530443756	0.1351432803847876	-0.2926125376425047	0.011746680303719201	-0.04773199658082857	0.009278587725319677	0.09267842165162948	0.015635988720603185	-0.5487736370177765	-0.30988542790424556	0.001609868123348786	0.2659985031886338	-0.33804896918600885	-0.14033836809155803	-0.2107538456239936
BioQ	0.1958605080081123	-0.08394833702143024	-0.20455879997864732	0.056251920122887863	0.2146723020705524	0.01829925799391448	0.15253969944318033	0.1163556829163768	0.055201197196028784	0.16982935045410608	0.08266291784253096	0.08378647573093269	0.06849044533815082	0.05595448695492829	0.1934131224943352	0.09597523219814241	0.10993599979449749	0.009538060221041665	-0.13540259446867725	-0.1574582823665201	-0.06201448259609776	-0.0840583515718236	0.024190035301027497	0.2384495914248037	0.14702098895246418	-0.17284576454122652	-0.12266293872485735	0.25145629931754504	-0.12750372749935088	0.3351083244208842
BirA	-0.0054396058287640246	0.03817604808652921	0.3535632306624673	0.40831336405529955	-0.09146914624418669	0.27920781508567766	-0.3139525716823057	-0.23785961131713249	-0.4838177353128261	-0.6349150734002338	-0.4412551277088215	-0.04441721635348995	0.0904601364607677	-0.19999028390785203	-0.45625727074747685	0.13312693498452013	0.10162626379552889	-0.49307717133742907	0.020044592383625565	0.0008637884007892257	-0.03167376441377677	0.10215149017499553	-0.041235311389286794	-0.4325779665412474	-0.24428846495240955	-0.027850104080451802	0.16658376562006302	-0.13551494978602852	0.12066506799188696	-0.14310629556280152
CadR-PbrR	0.12169449860484147	0.10577351671824554	0.08683072652538301	-0.15672503840245774	-0.050096365176470134	0.019980782576202425	0.032166894565448315	0.13596703048174136	0.15796482663587028	0.013322291147827611	0.13183343311271115	0.0912609757483479	0.09156529467762838	-0.02946849863385273	-0.07942110140755561	0.32507739938080493	0.030773367001199918	0.09816520368434492	-0.17976429783167103	-0.1264233994358988	-0.01760792934296535	-0.018951767399494845	0.06480263831855927	0.03418741551925829	-0.04644881126329733	-0.028685760816235906	-0.20609550422575348	0.008356872443992244	0.14241265343979354	0.09391369973296777
CblR	0.0183152969563193	-0.19404578563509473	-0.22546308653178881	-0.3077296466973886	-0.07735812905535017	-0.11677254043666258	-0.11784888017132986	-0.012291769529542968	0.2189211824731086	0.3366725328386154	0.2082855119145258	0.05718259459751837	-0.12056635474519943	0.032904869211617734	-0.03842235673854436	-0.19504643962848298	-0.08865417731414958	0.2759742771115042	0.04226388574914585	-0.005493023325407212	0.06509367290216375	-0.11858367471314933	0.03289156544318326	0.27405007419695226	0.14156413442761748	-0.044618539609531334	0.06236108114392135	-0.07745050927054804	0.038828028862283266	0.029537822187991707
CcpA	-0.1264668318834627	-0.14331698958303754	0.20064058079325256	0.11984639016897082	-0.07879628064743925	-0.029936475738002455	-0.012146387649560378	-0.0496098805795226	-0.02728208790985585	-0.11708964078760142	0.04285533852674627	0.05136583190539416	-0.1448664881946747	-0.1148266470419212	-0.23000834697606887	0.1001031991744066	-0.010974598352235153	-0.10277419922739861	0.04077015174137978	-0.12579722273111957	-0.04537044822049274	-0.006883106252490328	0.022980123859415755	-0.07397674576044236	-0.22040721572054786	-0.022986704768884765	-0.11177317087375463	-0.020991807219060462	0.3630323466497786	-0.12235684132479648
