	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.16441036488630353	-0.2533051295610788	-0.34130089899524063	0.26223507336429913	0.3372818614489688	-0.019989423585404547	0.22644568281009966	0.3197849620906546	0.24328708666778628	0.3349359789703695	0.10951228346344681	0.10497091485986251	-0.13722897937599154	0.2227780080255522	0.38779824826336456	0.5428571428571428	-0.17173469387755103	0.10965973230124174	0.039433362309339234	-0.005791352688466751	-0.06423144360023378	-0.1646432327926599	0.1504862461794943	0.3652833368922822	0.16293414837454848	-0.18312415414102995	-0.3819180562087855	0.36597285067873303	-0.13637468600599628	0.40850236176715754
AgaR	-0.042041248016922265	0.05182443151771549	0.021998942358540455	-0.015103509797286906	0.03215230037017451	0.1774193548387097	0.024152044909595452	0.061193195950101566	-0.11957310576530433	-0.37886532767787634	-0.22043492351866095	-0.060232681121099946	0.029613960867265997	0.0011542901970235866	-0.005889459377831471	-0.2571428571428571	0.18693877551020407	-0.28487340751491697	-0.0024862677115859047	0.23273833338445604	-0.03454120397428404	0.1626061822615352	-0.038732981383717696	0.020450162858577772	0.05207001944984718	-0.002830072598853478	0.04886368376238399	-0.09004524886877828	-0.1715420144234665	0.08241178105029175
AmtR	0.258011634056055	0.10555261766261237	0.1277102062400846	-0.24482451013565473	-0.32305658381808566	0.2950290851401375	-0.044575921813011746	-0.2771012646797052	-0.23739594472004905	-0.28250417567431285	-0.30578055619344596	-0.27472236911686937	0.32707562136435747	-0.24240094137495316	-0.019933554817275746	-0.5428571428571428	0.08642857142857142	-0.14602483470407998	0.20821046580048472	0.02062673560275829	-0.063062536528346	-0.16227584974297443	0.013559322033898305	-0.14623000763534535	0.07641011392053348	-0.1525470654099391	-0.09121634367318127	-0.1453393665158371	0.11190341139291791	-0.24745762711864408
AraR	-0.1750925436277102	0.16795346377578002	0.1300370174510841	-0.16736903626687993	-0.42982548915917507	0.0281332628239027	-0.32345909810132706	-0.3428045723596197	-0.33711846348754315	-0.39971658535931975	-0.1488497970500382	-0.2145425700687467	0.14976203067160232	-0.19007311910988392	-0.25354877680459076	-0.08571428571428572	0.2392857142857143	-0.15610385421706177	0.06337091655577097	0.07052756904173893	-0.047048509643483345	-0.007707758766417785	-0.2045012503473187	-0.40699389093188537	-0.07479855515420951	0.11148025106788048	0.21021305577979912	-0.1952941176470588	-0.1366988088485536	-0.2081689358155043
ArgR	-0.17102062400846113	0.20978318350079322	-0.016710735060814386	0.004214217601279646	-0.38783712321523006	0.005764145954521418	-0.24492442857985725	-0.25967419295570815	-0.03573105659605846	-0.2725846453210048	-0.12998151291693477	-0.20883130618720253	0.055473294553146486	-0.004232397389086484	-0.3177287828450619	0.2571428571428571	0.18785714285714286	-0.10490243509111434	0.04781728831352426	0.010313367801379146	0.12454704850964349	0.01588348860079665	0.0035565434843011948	-0.43658342926767224	0.04573492636843568	0.17429555809895442	0.420457116435082	-0.4960180995475113	-0.12454420225265375	-0.2764101139205335
BioQ	0.12776308831306188	0.02818614489687996	-0.22252776308831307	0.2693715586452982	0.2607086197778953	0.020571126388154417	0.20042955389741463	0.0648373662277904	-0.14194236939294427	0.18401741002361185	-0.0457031771224061	0.10364886303543099	0.11226864093072449	-0.34744134930409953	0.28601630927212324	-0.7714285714285715	0.19377551020408162	-0.15432994678277698	-0.12668401293220272	-0.14113447168195	-0.04248977206312098	-0.022517666681891958	0.09058071686579605	0.303900439183651	0.0990830786329536	-0.07576596533669691	-0.14559889527167208	0.3631674208144796	0.036382789077060204	0.3450958599611003
BirA	-0.08059227921734533	0.09418297197250132	-0.10312004230565838	0.09218985511704451	-0.27932310946589106	0.1632469592808038	-0.3496373212751503	-0.32187765393328777	-0.31871931725946523	-0.5762437377692092	-0.3013970154352502	-0.13167636171337915	0.12480169222633528	-0.12774144847061025	-0.5104198127453942	-0.37142857142857144	0.10591836734693877	-0.3297855184647637	-0.020930904920792966	0.040830358680331795	0.14587960257159555	-0.0416494250485361	-0.1514309530425118	-0.17841227660296458	0.18255070853014727	0.06453795991733258	0.35754822407856096	-0.29945701357466065	-0.03378980633660157	-0.16510141706029452
CadR-PbrR	-0.048704389212057116	0.128397673188789	0.14093072448439978	-0.08542249838506259	0.023796932839767318	-0.0884188260179799	-0.007294241751220103	0.10513972464539857	0.16977588062428253	0.017814666756961323	0.13604223448696193	0.09476467477525119	0.005817028027498678	0.10696422492418568	-0.1351555421322863	0.6571428571428571	0.07489795918367347	0.11627156910175779	-0.33159872851035266	-0.11098770426253403	0.12425482174167153	-0.07517817568245347	0.19083078632953598	0.06144771597442703	-0.1550430675187552	-0.037436938617442204	-0.12556974570917204	-0.07285067873303168	0.1178996839802285	0.021228118921922758
CblR	0.1207297726070862	-0.17995769434161818	-0.034690639873083025	-0.08277707711710604	0.06234796404019038	0.046906398730830245	-0.012238116715935951	-0.017318829042481575	0.08051227328574223	0.05040740934640193	0.052526253606902086	0.07419354838709677	-0.10893707033315705	0.07887649679661174	0.046813651464814254	0.14285714285714285	-0.1286734693877551	0.21657797129495243	-0.06874819323431723	-0.0033320111358301854	-0.021390999415546463	-0.03886912635064969	0.133425951653237	0.05224352223142214	0.0006112809113642679	-0.04798818754577636	0.07041207222358759	0.018190045248868778	-0.027469410906733653	0.2117810502917477
CcpA	-0.127181385510312	-0.2787414066631412	0.06181914331041777	0.020394352333200038	-0.14219989423585405	-0.20021152829190905	-0.042954979201629495	-0.1252728634072834	-0.015325506950997592	-0.028341515295165744	0.12453067527848267	-0.07615018508725542	-0.28471708090957165	-0.2012312576811119	-0.15780730897009967	0.14285714285714285	-0.20091836734693877	-0.1331236897274633	0.09343740981215866	-0.2093349218351726	0.07293980128579777	-0.03231753139919457	0.18532925812725756	0.08238401582647338	-0.17777160322311752	0.11892457246921245	0.06449014100619206	-0.06515837104072399	0.2763957539907625	-0.2341205890525146
