	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.23337526443541495	0.07539027236502409	-0.02864678697081087	0.17373514588722727	-0.018653006097427233	0.10688310905711279	-0.006600144600284109	-0.23021414110034544	-0.3016973076960743	-0.21259814105042277	-0.35669415249423936	-0.17824295186867484	0.255263915049525	-0.12828613221336516	0.07202077648993566	0.17576273261053804	0.04761821119433079	-0.24197181003311574	0.05559610884844308	-0.0382101658220803	-0.0773418031264698	-0.055102596526073994	0.05806195786595288	0.1322010790966607	-0.07119027489766612	0.06472290418208446	-0.10931512338905536	0.030793512422242694	-0.16294143157977586	-0.1647760423504575	-0.2204018779969557
AgaR	-0.3044951261612925	0.22574435957800498	0.23440766510144578	-0.1076890968493306	-0.23855771880831633	0.19226722167885005	-0.07650625630176656	-0.06779234099805752	-0.04697646813089224	-0.2097056707464072	-0.10597300048004436	-0.022318903802955436	0.10433490672784641	0.06141616407443796	0.0376869719591301	0.185162675894458	-0.03800843252470641	-0.1341261024853481	-0.058682926185175475	0.18774206618967473	0.039612371082088295	0.007225469121072716	0.11513609414250392	-0.07205489466735003	-0.25368217937461035	-0.14670902285960902	0.0905237079696406	0.15324572759429594	-0.17431052873359418	-0.19021844857490858	0.00153997439799203
AmtR	-0.14964246540976306	-0.18348334671819655	-0.032957711223699886	-0.09128386943840375	0.031195219499640686	-0.006362089824828143	0.044180662595336914	0.05997388869224469	0.06804443026763257	0.15921805796434685	0.08194990321117462	0.15364672716153374	-0.1464983733004563	0.24980370402526597	0.23272296920191365	0.26943802947443013	0.0367808418958733	0.07913140075535191	-0.1978735790298423	-0.017131306285017845	0.09901531869923626	0.047597311475183486	0.02579311927882595	0.09848325540656847	0.06732428412189574	0.11270143364864642	0.016885992177585987	0.012922915074455237	0.02180053681041455	-0.1266610490766302	0.16314451664510746
AraR	0.06074118968831976	0.1931342657457408	0.01405222244369145	0.10763498819916106	-0.17863590593899442	0.03267958707835221	-0.20649887525743857	-0.16428476146510837	-0.1727757439388621	-0.06592566157552748	-0.20699804377762698	-0.009439582068494757	0.1260152335240811	-0.1543012645477703	-0.20769256057518506	-0.18370406400557387	0.06529375836318563	-0.1980589674898647	0.02264302176218234	0.03347481187462456	-0.020400149295085164	-0.011527172682138211	-0.31862734155928396	0.12490738218860342	-0.1391579839445933	0.03519148725422913	0.09155307454855958	0.0720458357586718	-0.3040002813181302	0.02071044277378882	-0.1806099290946235
ArgR	-0.33455225173500136	0.12618970638176652	0.167296308829051	-0.14469683696290722	-0.32204254713202224	0.15721199085898643	-0.2751605322136766	-0.1295967700387764	-0.07648358555536094	-0.09576626108844528	-0.015700837327440507	-0.02540980194619368	0.055414808668517716	-0.0056607564508649455	-0.1647259936259675	-0.12171305872799822	-0.02058191925430221	-0.022412474895727928	0.054484472929650724	0.22676934622141404	0.023099685803769518	-0.06729635293435592	0.07408661920513837	-0.06342044465119398	-0.2237051073388426	-0.10581737311419427	0.15239649810626565	0.21552862168530615	-0.25289794771952406	-0.04838918788930627	-0.15379953144283454
BioQ	0.07465088156715029	0.06623186541561457	0.0293142849196453	-0.014532037474105145	-0.20925273765266839	0.10108885602903617	-0.10784434745731403	-0.062402970844034705	-0.15513431825760013	0.006505697626115503	-0.17204863281305302	-0.04580138530962711	0.14237833471807462	-0.14644924753528019	-0.12739406292395408	-0.2396985537399592	0.12993709877982962	-0.03521611942266717	0.0012953182487215563	0.03786817482252198	0.11017822255803204	-0.040058448512714846	-0.28240721661454965	0.0065358185722161986	-0.10597603004122706	0.015154838298865863	0.08634440236011218	0.03508037856408027	-0.11406603453707226	-0.12196149633453415	-0.02439220492241191
BirA	-0.33001650783649744	0.20833029134710826	0.3274239678117656	-0.06240015665742525	-0.35994999879996525	0.2601758671679082	-0.2854083903182399	-0.1319161195266252	-0.1881727134265793	-0.3065483462461401	-0.18772906619334934	0.0253043382300202	0.1394879335297596	-0.05162853356584566	-0.08480883658423224	-0.17357481477721184	0.12680806109106166	-0.10061957445570652	0.1230695465373735	0.2338168036051694	0.08315492556574261	-0.055152341580263824	0.3994091959814793	-0.09774936949476704	-0.44411963350717554	-0.2046657846390408	0.10864004443116605	0.24159905142311364	-0.3045394343790329	-0.08293900322085382	-0.20353637525268156
CadR-PbrR	-0.27918233771596257	-0.0825090998849814	-0.01256425826608137	-0.12940727838642851	-0.19315427760992757	0.06615646337336775	-0.26130022855308	-0.011910981885984722	0.02783125679995527	0.03477888668049168	0.054766744628351204	0.010795544133582401	-0.07363801166974689	-0.04462867343843202	-0.1088858936872215	-0.16231108963527324	-0.008455433305041449	0.07879240902406724	0.12866589388820365	0.2236999770003781	0.1426268814198746	-0.0065999250646356115	-0.20974745081632507	-0.057787870278118	-0.024161762195367174	0.08680425354285028	0.18367558592801053	0.24904329444470558	-0.3180417023390316	-0.0007130355884559531	-0.1082744248419537
CblR	-0.14871886094192768	0.12237940117492628	0.2081272510673014	-0.1315870840075443	-0.3098712563316787	0.18681830613124678	-0.2178954608191505	-0.2830404430913271	-0.31253803111089556	-0.20625610877339193	-0.24595683035603078	-0.1717239034788304	0.1720970827822135	-0.1330338634302196	-0.1450014793417054	-0.0062396175246710135	-0.0046056622160516834	-0.13425048074646692	0.2766756840542767	0.1375267948866704	-0.0033699022393862492	0.02950627889269729	0.23543081214077305	-0.06569690229683957	-0.29721878555987813	-0.14512891989349636	0.06466328827171708	0.2493016488851131	-0.14778654228092317	-0.08449471723203043	-0.19888552887802288
CcpA	-0.05180644634200773	0.11194857478600624	-0.06428376079469339	0.2154683747822771	0.06613948156846432	-0.004155638271736561	0.10840359635092588	0.049417107636261996	0.004730814887949386	-0.2487807728403714	-0.04011160959204953	-0.10395940954059137	0.0401944242233929	0.12003238409791045	0.0689832012901593	-0.017503342666609596	0.0937041314605477	0.006367679211397782	0.02756189142859827	0.09072410520068733	0.06418423260818354	0.0258599664205828	-0.16847845997020355	0.10806611183182176	-0.06254416744840625	0.006410029644618335	0.08100818662809409	0.16787585919707232	-0.1797723836549131	-0.11910935398071035	0.0260002103179056
CsoR	0.09980258968496565	0.13254369161567925	-0.021983395988522742	0.006549723272903419	-0.011911435418242487	-0.022516467267105794	-0.04826166803520724	-0.15372299256076472	-0.13722854551354288	-0.05249251330834753	-0.017302547178258024	-0.025470066926864245	0.17465602657684043	-0.20327593810009217	-0.025878562740951863	0.05332036793809775	0.03323577110616431	-0.10385828682366371	-0.07917424065390138	-0.14674955930690212	-0.1406634327723531	-0.035928365388604264	0.03172004881523702	0.13775603092137306	0.052515988701404406	-0.016767958341882397	-0.15458019817043048	0.039852795262261646	0.03578335423773958	0.20172425011590236	-0.007446301908363069
CueR	-0.21886644644633238	0.038523715325727	0.2899606454334333	-0.17485596792645347	-0.26032270266719504	0.1757814129633664	-0.1740422863146674	-0.03549352893662784	-0.09443923510371918	-0.1223902070097375	-0.06178315195255342	-9.387429681376001e-05	0.054494608771355674	-0.16542799873291128	-0.0333673033308767	-0.15582837012912154	0.11480169737517121	-0.022273463898006874	-0.006956073689267142	0.3004012298227473	0.06512077296725237	-0.023187413384234214	-0.2714314211767514	-0.06779553374077943	-0.3317079939092385	-0.20727649207708074	0.0948060790689231	0.1751617140692687	0.06809737573575728	-0.13103649473306447	0.05525972387975417
CzrA	-0.2314388239514088	0.228299628124563	0.1926403715738582	-0.05911498861141744	-0.27582810566852795	0.16012765898271458	-0.23111590313300204	-0.18710666164070433	-0.14068002037117175	-0.2576847973126891	-0.13556382482588009	-0.06884578676450123	0.1731737398407318	-0.035973194220012716	-0.13785463033270776	-0.16620072133896427	0.10615289657250927	-0.09443236566240273	0.035255079922386516	0.1895448473159179	0.06628569772967306	-0.14183807301146048	0.03874455789542792	-0.10972864568586423	-0.29459339421672653	-0.13980609542406897	0.1417356615098268	0.13567113432898545	-0.288400004708097	-0.02913722700099554	-0.14916723897658543
DasR	-0.03737295368593556	-0.12429266574198626	0.10404856047577771	-0.17507497912952064	0.05923235786358619	0.030475453226471855	0.001838971587102061	0.09061174724947298	0.03849242371929298	0.134463673915291	0.044210252474635114	0.16930982742620002	0.004371528982487689	-0.1568455615332128	0.001722607580825556	-0.13751468752424298	-0.14780308363573494	0.04967570197509055	0.10409062943455821	0.10614912067719456	-0.10174607321988957	0.11737469898725715	-0.014158776114759778	-0.15453802587758617	0.034091998881899115	-0.06567332432438806	0.06628141646085632	-0.10777794260960925	0.33472028507087026	-0.08293900322085382	0.09683284798940246
ExuR_UxuR	-0.09867270968980946	0.18694599634047107	-0.07536700798679838	0.014944293856349263	-0.0029736676387202834	-0.09052477390824684	0.1530074743252123	-0.09535519104075081	0.06027113031732249	0.07113462605120294	0.15445277889459752	-0.07165158519149029	0.06464462224660147	0.09658589608852146	-0.11657187941998896	-0.054778979826981884	0.042766444890398485	0.12045668770944438	-0.09230156353182906	-0.058352214299638355	0.06027212279249429	-0.0468934189583974	0.23213807350943355	-0.055837427335599585	-0.07535145216124163	0.048721413696898516	0.07991311579945687	0.06232184199659928	-0.05550932383555017	-0.09305114429350188	-0.013760815403744043
FUR	-0.23584361765560233	0.2727578242788268	0.1673727929690216	0.005204736825831985	-0.23234633693293444	0.12253686303776462	-0.16897881660223568	-0.14361761178144938	-0.11791125920776749	-0.21851527290194533	-0.08173821225955383	-0.08758935469498198	0.09722248006678412	-0.04001485258923242	-0.19435221408092915	-0.0479721243455226	0.07566235797044193	-0.11440605112442795	0.08983497224420826	0.17327584690835782	0.10424844333719101	-0.14119884906512117	0.10350175097843775	-0.07459809161555422	-0.2995027399977805	-0.09982005693087403	0.11774716876956197	0.13884019558041658	-0.3038713534122622	-0.07175730876552182	-0.13530128475852066
FabR	-0.03117773475864838	0.15072723754041475	0.03893274494625251	0.021522359755531965	-0.2226792975971933	0.15175380450653825	-0.13734346702575942	-0.10410138314170317	-0.16096491668038646	-0.013086933105654697	-0.12340307232795347	-0.04579790848381919	0.1354559745345118	0.05542671853932924	-0.1012196324687383	0.1965884690240504	0.1167265829196661	-0.23181181325231023	0.06680788742853758	0.002287675507759762	0.042149245317881744	-0.052578035025940155	-0.15947830771120897	0.09575517566135276	-0.1876352229580096	0.05708416760411581	0.09043739062197155	0.10351444521112513	-0.14698953340828436	-0.3043689641449934	-0.0925283412383886
