	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.20778090472578742	0.07215310933197959	-0.05792341550393396	0.05451725874381981	-0.11572727306742629	0.1429768450978192	-0.05169004610952442	-0.24842069639991365	-0.25471721636069	-0.13726517306834676	-0.3241205936221334	-0.15841065644123398	0.2680646087446468	-0.10139950993898805	0.04565289638450528	0.15308020571178466	0.005095844619467097	-0.21154431623790157	0.007408302364513695	-0.04763824227208052	-0.10060252578786279	-0.0762050413189128	0.129064039408867	0.13261853010014896	0.05495723904445444	0.1310229440630069	-0.09276501021039898	-0.046001331250240175	-0.16294143157977586	-0.1647760423504575	-0.2204018779969557
AgaR	-0.28689670307221027	0.21059141708942553	0.15231361987057196	-0.1476263504852591	-0.27456486310930844	0.18911707128517813	-0.12608294289340674	-0.056926073407375904	-0.09732474462933721	-0.20783047231102494	-0.1481493970038841	0.0510112340887465	0.10934969051800034	0.03312527336038539	-0.012686577947648563	0.18240507714191925	0.005774823916291696	-0.13886935420431176	-0.022834485716566304	0.24287869053947767	0.018702504882583106	0.06378281960773509	-0.12463054187192119	-0.0467284694980718	-0.2650227243126636	-0.002545372930290448	0.1651835786822289	0.22395460790979602	-0.17431052873359418	-0.19021844857490858	0.00153997439799203
AmtR	-0.1088892740424967	-0.19951395842103117	-0.06198331650020574	0.028222852957333823	0.08878675393310301	0.03044676367535755	0.07020527502019239	0.07583029902242797	0.02753237690158186	0.15682218228171932	0.017664932020163202	0.17600297311582175	-0.11561947845674624	0.2413503116696732	0.2553643417640012	0.33034248823722506	0.05397535420427305	0.053578645454161	-0.27137232123235305	-0.1283984900418622	0.07779059770754532	0.00826553477145115	0.06305418719211822	0.1385878539814608	0.08319016212480473	0.119300966119505	0.010638176119251825	0.015545118454065626	0.02180053681041455	-0.1266610490766302	0.16314451664510746
AraR	-0.015164796524652401	0.17945133910828187	0.03516003940198756	0.037825032045412925	-0.19766355897664833	0.02703026222272098	-0.2275293905706683	-0.2555542386226873	-0.17322394453327117	-0.09724865443410598	-0.20816520740282246	-0.10037396784833189	0.1484124146566547	-0.17881829506266847	-0.18110884737565727	-0.09508698982383193	0.0786636014197407	-0.19133348407216635	0.08690064982658614	0.09146457095206584	-0.04938429887883902	0.008512703496127984	-0.10935960591133005	0.02573906097664994	-0.19014308333114105	0.04184307444323155	0.182628699661002	0.156039097808107	-0.3040002813181302	0.02071044277378882	-0.1806099290946235
ArgR	-0.37604256417511267	0.08981419944669564	0.15999950124066384	-0.13039049624610877	-0.31988967429752707	0.13795433858277534	-0.2994819347551263	-0.14125836244839923	-0.17456281852641586	-0.16709025068020747	-0.08248380558980128	-0.0068708296623886085	0.017754423363537025	-0.0345924485073135	-0.2051815567842934	-0.07648539227486596	-0.07822261486613298	-0.06292206046524085	0.05176475766338479	0.2009503104337078	-0.021177417467007187	-0.06765247189944984	0.0832512315270936	-0.06647977327210886	-0.260573065653289	-0.07483090358188552	0.18386190404706912	0.28452984795169545	-0.25289794771952406	-0.04838918788930627	-0.15379953144283454
BioQ	0.024910566105040752	0.0477238465864616	0.059190264217758325	-0.06836545504486358	-0.1854888284005337	0.09598374044564147	-0.10685133362538987	-0.14357185216262258	-0.19899014723113023	-0.0843156561776354	-0.23991712656949968	-0.03041121484688446	0.13800017732798958	-0.1281375121855916	-0.09314809195844699	-0.1513294671189408	0.12023533383047572	-0.06464190400577118	-0.008122223274363051	0.06753867352493048	0.17131736622166616	-0.08067799791709682	-0.11822660098522167	0.035130838179516836	-0.1763781418957223	-0.05201436426888116	0.08741730952000586	0.02763480549796724	-0.11406603453707226	-0.12196149633453415	-0.02439220492241191
BirA	-0.43278897840278335	0.14734366680851216	0.2607089863963391	-0.20243545138253066	-0.4129433196717878	0.22968116809436526	-0.3615973535447689	-0.18590566541059259	-0.18682633457000716	-0.18254343819534513	-0.18450581276712136	0.06014158160018196	0.06345853385099025	-0.07481328443172187	-0.1402025806674647	-0.17737170368749317	0.09486110753161826	-0.04599424226300244	0.13981317264503645	0.27255983005663914	0.09783917015403101	-0.062209444500114806	0.35467980295566504	-0.1454880605884739	-0.41520090106721	-0.07293845196437498	0.22590816495949667	0.30491660507888496	-0.3045394343790329	-0.08293900322085382	-0.20353637525268156
CadR-PbrR	-0.2825674666362957	-0.13318885919892048	0.051464482100774325	-0.019833821644387475	-0.14479500342285276	0.14827366924774624	-0.25174071695684214	0.02777881280577709	-0.08669921272629527	-0.2054465094987723	-0.06167927377475012	0.03763618527590072	-0.10258859461428509	-0.06469483514256254	-0.1078070137441981	-0.17408906882591094	0.014713551360054722	-0.017298136480116577	0.08086527228870583	0.19123900675860814	0.16591529083954915	0.022577401248706594	-0.10246305418719212	-0.04544735366765129	-0.11982148637462631	0.016863733281643728	0.13071394239696082	0.26347448357916975	-0.3180417023390316	-0.0007130355884559531	-0.1082744248419537
CblR	-0.09494145181549771	0.08324054319953503	0.20067332510380428	-0.17668467313678812	-0.33508938401924326	0.19951620344393323	-0.2584036367032417	-0.308327547184327	-0.37020578077468436	-0.3101535618740687	-0.2686793075066774	-0.16934163517453682	0.1623934930912647	-0.15600119191561415	-0.2090901209469801	-0.05022431338220812	-0.05381435911327341	-0.10795846025950072	0.22906426977481892	0.13653484342330913	-0.04689870321851095	0.04481727101317708	0.034975369458128076	-0.02339495695120426	-0.33271963782033065	-0.1374297344446598	0.026366539251991814	0.22515060793916888	-0.14778654228092317	-0.08449471723203043	-0.19888552887802288
CcpA	-0.14382491530443642	0.07537011106143225	-0.14631853265003306	0.1547450100714155	-0.010648525104467316	-0.04743450666467163	0.13251871764845174	0.03813023969694339	0.04655791877757149	-0.1649957690665855	-0.004638215448772438	-0.08111319925209695	-0.027064335207347072	0.08574120966401397	0.07184244368531738	-0.06401137980085349	0.13707682030635188	0.00943599458054939	-0.0216867205615008	0.1317352491385842	0.11691914371855505	0.012517899927181643	-0.19064039408866995	0.15089516817010484	0.03446361693715721	0.10697197539302802	0.10429590040958803	0.2709040934001896	-0.1797723836549131	-0.11910935398071035	0.0260002103179056
