	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.18202009518773135	0.2397144368059228	0.05721840296139609	-0.16490817927343196	-0.25647805393971446	0.37519830777366475	-0.12635247655724602	-0.18646605935738497	-0.1766488795633093	-0.17703325089730318	-0.2643465665920653	-0.2131676361713379	0.41068217874140667	-0.2774144106846686	-0.043944427665357895	0.37142857142857144	0.00040816326530612246	-0.1650540235445896	0.02954611164233482	-0.08353827919117107	-0.06867329047340737	-0.10931253593373223	0.191108641289247	-0.1637309394002138	0.14554042789663796	-0.18238587433263337	-0.02170341283862233	-0.014298642533936652	-0.1911514463981849	-0.23017504862461796
AgaR	-0.09349550502379693	0.5660497091485986	-0.020306716023268112	0.02347042357501	-0.2543098889476467	0.14780539397144368	0.11719415080293633	-0.09810395034689043	-0.08012806837610718	-0.30467128942303173	-0.2063694753467111	-0.058646218931782124	0.3463246959280804	0.05348211246209284	-0.03971609785563274	0.6	0.06438775510204081	-0.12675374939525882	-0.1639780286059913	0.11104059332818213	0.10011689070718878	0.10190758197599514	0.13798277299249792	-0.35364845818193447	0.1359822172825785	-0.0033530207964677077	0.13840576415944297	-0.1370135746606335	-0.2420387326796856	-0.007613225896082245
AmtR	0.1257006874669487	-0.14569011105235324	-0.2796404019037546	0.3075763634685779	0.29756742464304603	-0.15579058699101006	0.1759533204655427	0.1769046224901816	0.1651227322742582	0.1439344098204489	0.06743029218476763	0.1918032786885246	-0.06277102062400847	0.22662564201563082	0.15644820295983086	0.7142857142857143	0.1433673469387755	0.09280761167553621	-0.2184446375435244	-0.24535237554152747	0.09146697837521917	0.11079903226725565	0.3579327590997499	0.318841049449585	0.17799388719088635	-0.036421803880896934	0.0001860292529024771	0.004253393665158371	-0.10023498906085407	0.1314809669352598
AraR	-0.13442622950819672	0.3086197778952935	0.011475409836065573	0.05103202190162724	-0.20391327340031729	0.027710206240084613	-0.18130243108310412	-0.1944038560018557	-0.07684098192700743	-0.10476238689463052	-0.14797308889839905	-0.014648334214701216	0.13923849814912745	-0.04347826408788843	-0.21942011476895198	0.2571428571428571	0.07183673469387755	0.0012094823415578133	-0.06325527619709255	0.03451011533538406	0.1206312098188194	0.03807082276412785	0.029841622672964713	-0.37630244207756974	0.06712975826618506	0.03325335303652836	0.26918432894988437	-0.26760180995475114	-0.004456689085163277	-0.1377049180327869
ArgR	-0.26763617133791645	0.3170809095716552	0.1088841882601798	-0.12602663877695408	-0.38635642517186675	0.2597567424643046	-0.2672934366169322	-0.3078061053362715	-0.2891782286519713	-0.3331140244156802	-0.14046389299088113	-0.10206240084611316	0.18402961396086726	-0.06040785364423436	-0.3142555119299305	0.2571428571428571	-0.06622448979591837	-0.21528785679729076	0.04706562598211457	0.1497025003169419	0.024547048509643482	-0.06680975187891416	-0.05796054459572103	-0.3842426796375564	0.09119199777716032	0.0059062384671724755	0.26902930457246566	-0.30072398190045246	-0.04286524592820679	-0.25073631564323423
BioQ	0.10163934426229508	0.1771020624008461	-0.160444209413009	0.2089575194561506	-0.1571655208884188	0.20481226864093072	-0.11200713444651314	-0.07688838476985049	-0.14096051240165475	-0.33058353197861184	-0.30722903053093675	-0.0713379164463247	0.22427287149656266	-0.10196230073708347	-0.139685895499849	-0.02857142857142857	0.1346938775510204	-0.2888243831640058	0.10650477034281945	-0.023985191271412524	0.12811221507890122	-0.07966519239290382	0.0972492358988608	-0.15044319491207295	0.1530425118088358	0.12993724627779446	0.03202803637470981	-0.1930316742081448	0.004132566242605947	0.012725757154765212
BirA	-0.29048122686409306	0.37620306716023266	0.0928609201480698	-0.0848072841367006	-0.3670544685351666	0.19021681649920677	-0.14434493954358893	-0.2710035936209982	-0.24179295646365004	-0.40751050206549033	-0.16280089198481773	-0.11205711263881545	0.18630354309888947	0.043093500688880564	-0.17517366354575656	0.3142857142857143	0.03785714285714286	-0.13078535720045154	0.0037004914777092534	0.14470448361319663	0.09170075978959673	-0.11121194791545662	-0.08780216726868574	-0.42174004640043194	0.03612114476243401	0.10354374312761747	0.2545810325970399	-0.33864253393665156	-0.09310428652459282	-0.22489580439010837
CadR-PbrR	-0.20227392913802222	-0.15780010576414596	-0.20861977789529348	0.1625703651296564	-0.07139079851930195	0.12443151771549445	-0.2129108120050579	-0.14129278027157885	-0.21967982944243344	-0.23989068303408148	-0.16867102482622767	-0.2084611316763617	-0.10920148069804336	-0.0038476339900786216	-0.20839625490788283	0.42857142857142855	0.06326530612244897	-0.17545557168198678	0.08927435689973574	0.15480629515198338	0.23068381063705434	-0.10017333625355114	0.062183939983328704	0.05645670950814973	0.21222561822728536	0.012519995084058322	0.3465414932818311	-0.3349321266968326	-0.00040515355319666155	-0.1918310641844957
CblR	-0.05103120042305658	0.07689053410893706	0.1730830248545743	-0.21031099080254698	-0.4336858804865151	0.23833950290851402	-0.20326620346733354	-0.36788079357737946	-0.41255069407922207	-0.2667139028670062	-0.22904953405215867	-0.17763088313061873	0.10386039132734003	-0.061562143841257945	-0.2511325883418907	0.08571428571428572	-0.23214285714285715	-0.21335268505079827	0.28817577382660814	0.23897924313093163	-0.09421390999415546	0.039887651616212036	0.06079466518477355	-0.35257895679630363	-0.012170047235343151	-0.09997539072036743	0.1729451954483362	-0.2402714932126697	-0.016935418523620453	-0.28341205890525145
CcpA	-0.12501322051824432	0.274034902168165	-0.18873611845584348	0.1849026423451967	-0.03881544156530936	0.09598096245372818	0.28528589960327516	0.0571160549463507	0.06966915694715341	-0.12642340215593575	-0.10623415733123086	-0.01554732945531465	0.12654680063458487	0.2601000577293148	0.08728480821504077	0.3142857142857143	0.10785714285714286	-0.05128205128205128	-0.010060711205022034	0.13825201760412864	0.2358270017533606	0.11275349966874017	0.2125034731869964	-0.04242355496335706	0.29602667407613226	0.07109019321685203	0.265928817024091	-0.1667873303167421	-0.02422818248116036	0.04406779661016949
