	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2
AcnR	0.5053642010163749	-0.07848673066064371	-0.36984754376058726	0.4048560135516657	-0.11462450592885376	-0.1417278373800113	0.058823529411764705	-0.2736842105263158	-0.3233082706766917	-0.21577053721296016	-0.3263157894736842	-0.14511575381140598	0.17447769621682666	-0.09117647058823529	-0.27647058823529413	-0.125	-0.19047619047619047	-0.34135338345864663	-0.22303921568627452	-0.21333361535297293	0.18681318681318682	-0.1768587450056937	0.05714285714285714	0.06470588235294118	0.053642010163749296	0.055900621118012424	0.03896103896103896	-0.010876813492390926
AgaR	-0.47374364765669114	-0.1101072840203275	0.22868435911914173	-0.44776962168266515	-0.5550536420101637	0.03670242800677583	-0.4262125902992776	0.23859649122807017	0.14887218045112782	0.13174451070214394	0.24210526315789474	0.21852060982495766	-0.35403726708074534	-0.18235294117647058	-0.12058823529411765	0.2642857142857143	-0.14285714285714285	0.0	-0.12745098039215685	0.4546347473528295	-0.34945054945054943	0.2639780527307206	-0.2646616541353383	0.20588235294117646	-0.015245623941276116	-0.07284020327498589	0.4342179559570864	0.2827971508021641
AmtR	-0.1857707509881423	-0.045736871823828344	0.08413325804630152	-0.25804630152456237	0.057029926595143984	0.2230378317334839	0.30030959752321984	0.2631578947368421	0.2706766917293233	0.30394599713171794	0.15263157894736842	0.28176171654432525	-0.39695087521174477	0.27058823529411763	0.3088235294117647	0.19285714285714287	-0.6428571428571429	0.007518796992481203	-0.4362745098039216	0.1125204739514156	0.5252747252747253	-0.06288310933535776	0.14586466165413534	-0.5441176470588235	-0.06493506493506493	0.16205533596837945	0.18012422360248448	0.16830437719804908
AraR	0.029926595143986448	-0.14737436476566912	-0.03670242800677583	-0.08526256352343309	-0.04121964991530209	0.007340485601355167	-0.13312693498452013	0.22456140350877193	0.03458646616541353	0.2188826122689163	-0.3280701754385965	0.13156408808582723	-0.033314511575381144	0.4147058823529412	0.2911764705882353	0.18928571428571428	0.21428571428571427	-0.4421052631578947	0.44362745098039214	0.35187038385962915	-0.24835164835164836	-0.29017934828711966	-0.3684210526315789	0.5558823529411765	0.017504234895539244	0.044607566346696784	0.33145115753811405	-0.3291667241118307
ArgR	-0.295313382269904	-0.17786561264822134	0.14059853190287974	-0.2727272727272727	-0.5403726708074534	0.005081874647092038	-0.5830753353973168	0.3192982456140351	-0.03007518796992481	0.13278186905412934	0.21929824561403508	0.15753811405985318	-0.295313382269904	-0.09117647058823529	-0.023529411764705882	0.02857142857142857	-0.6190476190476191	0.09323308270676692	0.03431372549019608	0.23089461417776033	-0.3010989010989011	0.09235956683630671	-0.11879699248120301	0.15588235294117647	-0.024280067758328628	0.003952569169960474	0.23094297007340486	0.3858406470458676
BioQ	0.044607566346696784	-0.31225296442687744	0.09994353472614342	-0.10333145115753811	-0.05138339920948617	-0.3382269904009034	-0.04024767801857585	-0.07192982456140351	-0.45112781954887216	-0.39419617375444643	-0.05087719298245614	0.13495200451722192	-0.09090909090909091	-0.047058823529411764	0.18529411764705883	-0.24642857142857144	-0.3333333333333333	-0.03007518796992481	-0.10049019607843138	0.22634176263059322	0.03296703296703297	-0.03995697572350858	-0.3954887218045113	0.16470588235294117	0.2761151891586674	-0.2930547713156409	0.029926595143986448	0.09273914661933316
BirA	-0.42631281761716544	-0.18012422360248448	0.39808018068887635	-0.45454545454545453	-0.3924336533032185	0.3370976849237719	-0.5397316821465429	0.531578947368421	0.2781954887218045	0.44813880805768647	0.10175438596491228	0.44212309429700736	-0.4342179559570864	0.2088235294117647	0.19117647058823528	-0.12857142857142856	-0.21428571428571427	0.14285714285714285	0.2426470588235294	0.21853687426402105	-0.07252747252747253	0.04061200811241855	0.12481203007518797	-0.08529411764705883	-0.3167701863354037	0.29983060417843027	0.32241671372106157	0.3257319409037072
CadR-PbrR	-0.5979672501411631	-0.2456239412761152	0.42179559570863917	-0.4398644833427442	-0.3845285149632976	-0.08300395256916997	-0.5727554179566563	0.5228070175438596	0.28421052631578947	-0.0425316924314008	0.47368421052631576	0.2704686617730096	-0.33145115753811405	-0.11176470588235295	0.24411764705882352	-0.38571428571428573	0.23809523809523808	0.5293233082706766	0.00980392156862745	0.11902454759022575	0.13406593406593406	0.04978246155715823	-0.29473684210526313	-0.3205882352941177	0.007340485601355167	-0.20045172219085264	0.09655561829474874	-0.008586958020308627
CblR	0.08865047995482778	0.2941840767927724	-0.15527950310559005	0.21852060982495766	-0.14850367024280067	-0.30773574251835123	-0.5892672858617131	-0.3	-0.05714285714285714	-0.29460977196384946	0.10526315789473684	-0.44438170525127046	0.39695087521174477	-0.09411764705882353	-0.45	-0.14642857142857144	0.047619047619047616	0.3037593984962406	-0.12009803921568628	-0.3252036819405075	-0.1824175824175824	0.08187904861374708	0.0015037593984962407	-0.023529411764705882	0.2987012987012987	-0.2264257481648786	0.007340485601355167	0.11964494841630019
CcpA	-0.24449463579898362	-0.26143421795595706	-0.07396950875211744	-0.024280067758328628	-0.5381140598531903	-0.13495200451722192	-0.5294117647058824	0.20175438596491227	0.09473684210526316	-0.07261508463897698	0.30350877192982456	-0.08300395256916997	-0.1259175607001694	-0.17647058823529413	-0.20294117647058824	-0.010714285714285714	0.21428571428571427	0.01804511278195489	-0.16176470588235295	0.28292720328824156	-0.17362637362637362	-0.2443270810634213	-0.2571428571428571	0.39705882352941174	-0.07509881422924901	-0.10107284020327499	0.35403726708074534	0.24272468004072384
