	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.24499391293396583	0.1611813106082868	-0.0910960916838084	0.06106422878574777	-0.08591159061332437	0.10807690693085932	0.03309482467172803	-0.18292764290133653	-0.14652421038275718	-0.1307132528832975	-0.22950010413573083	-0.18412325259225054	0.3372654380588556	-0.08659668149037611	-0.05184102863822326	0.15844155844155844	-0.023334197562872697	-0.16493891151425397	-0.10975777290685859	-0.15946880189599075	-0.04680365296803653	-0.15418836090822047	0.05714285714285714	0.18824333561175666	0.04493698233397682	0.1108934382516516	-0.17863756773702583	-0.07216469336517947	-0.014298642533936652	-0.1911514463981849	-0.23017504862461796
AgaR	-0.2607573149741824	0.33873472986020736	0.1332647663826036	-0.1437412095639944	-0.30559170479828723	0.20043239158725495	-0.08411253927902666	-0.07297259303496761	-0.07944432387810854	-0.1544498197675877	-0.16396831396509262	0.037592880231728305	0.2551740061290458	-0.05819575778226482	-0.062302746931618934	0.3987012987012987	-0.004277936219859995	-0.11332222633592497	-0.07855213159020272	0.22668517402621208	0.006293965198074787	0.17327675748436275	-0.2646616541353383	0.05536568694463431	-0.2974336504050356	0.06646640763596391	0.15909890062741217	0.18360486143795662	-0.1370135746606335	-0.2420387326796856	-0.007613225896082245
AmtR	-0.08830443726124008	-0.16987112211913857	0.0007556357835523278	0.002953586497890295	0.06653792871835776	0.04806683178707863	0.026314692665093575	0.12398083545681225	0.07497447525675373	0.13680952962407147	0.016861169175260725	0.21361403803366777	-0.11727047563074598	0.15751187136277667	0.18509643483343075	0.43896103896103894	0.03869587762509723	0.05081451314328027	-0.266655982696325	-0.08481780917225665	0.15744168826360608	0.10552074536694757	0.14586466165413534	0.10009569377990431	0.04441361011286062	0.10645291191867742	0.05568578730520371	0.06477319330729071	0.004253393665158371	-0.10023498906085407	0.1314809669352598
AraR	-0.07247806557239411	0.18531967591620838	0.03448637756601318	-0.0173230192217534	-0.16540027706645397	0.019541580957978255	-0.22043765249438999	-0.1244399688816314	-0.10264573236952944	-0.004799196583162498	-0.1927078914339954	0.08584862096469502	0.11546534570337097	0.06420699623582213	-0.08603156049094098	0.1974025974025974	0.15186673580502982	-0.1419844502036283	0.086382160445886	0.11459983251610856	0.051616685178329014	-0.02456767960733365	-0.3684210526315789	0.08590567327409433	-0.23246246630461087	0.05834720997812388	0.12549520620433932	0.13838070748377007	-0.26760180995475114	-0.004456689085163277	-0.1377049180327869
ArgR	-0.36988371604886444	0.14086310398387977	0.1788967717560136	-0.20705578996718238	-0.3803996473699677	0.2314974182444062	-0.3532337625751526	-0.19572413577371567	-0.2309046620549518	-0.20078800839825803	-0.11157990543884796	0.031442844548927415	0.09558792661936946	-0.11491048580060974	-0.2515488018702513	0.16233766233766234	-0.13319937775473165	-0.11165617672466988	0.03621960716283903	0.22710969848177137	-0.05174009626064421	0.010758104488070854	-0.11879699248120301	-0.07917976760082024	-0.3211436291662997	0.005256799555947367	0.12388944891938607	0.32210383292265293	-0.30072398190045246	-0.04286524592820679	-0.25073631564323423
BioQ	0.04038453465429663	0.05262163637126905	-0.014944796608034928	0.04521800281293952	-0.14292011250577222	0.12971747617648294	-0.09386592589512788	-0.10967364550922168	-0.23889572236003578	-0.32459430944227435	-0.26839032141920044	0.01005415389782125	0.1543176189076865	-0.012022476907114589	-0.0565166569257744	-0.05974025974025974	0.03707544723878662	-0.20032703936813526	0.05320756450470158	0.04449887113657407	0.0867579908675799	-0.06237695987337977	-0.3954887218045113	0.06403280929596719	-0.11648074781586082	-0.0012080843700003265	0.10766778408452984	0.0540703012234678	-0.1930316742081448	0.004132566242605947	0.012725757154765212
BirA	-0.45126149196087484	0.18292682926829268	0.2803408756979136	-0.2904828879512424	-0.45577431677931235	0.30865622769824946	-0.3512052804584136	-0.17587772321701653	-0.1762213701080894	-0.17085788376137298	-0.17223692025780968	0.10830779564250032	0.10652365559800177	-0.013677745466789787	-0.12460549386323787	0.04155844155844156	-0.007194710915219082	-0.07725533752931013	0.0724621091468935	0.267613685639108	0.024157719363198816	-0.00032296586972469437	0.12481203007518797	-0.14466165413533835	-0.45073302540407084	0.015509191236490678	0.2234698422986769	0.31712491848365904	-0.33864253393665156	-0.09310428652459282	-0.22489580439010837
CadR-PbrR	-0.31104907434616513	-0.23410016372108644	0.030561269468116367	-0.06155649320206282	-0.15419167961042776	0.1738382099827883	-0.2780965619770396	-0.02165332474469711	-0.145302237378358	-0.18029414190799656	-0.0860798938682112	0.009907224717686075	-0.16907350656983333	-0.08398309955404684	-0.10356516656925774	-0.15974025974025974	0.06002074150894478	0.019930889793903492	0.08228398744832077	0.24424307009844642	0.20739232383068	-0.015613729288069709	-0.29473684210526313	-0.06991114149008885	-0.10534387380838824	0.0383648414797401	0.07525961698310103	0.30837338241511875	-0.3349321266968326	-0.00040515355319666155	-0.1918310641844957
CblR	-0.1315016162209815	0.05505646278493766	0.22782418874102683	-0.2575480543834974	-0.4070777885059401	0.23202216531631753	-0.34047933392332796	-0.34630508835876045	-0.370643706544861	-0.3006956075382827	-0.22912986803307187	-0.19379958859829563	0.15352000335838126	-0.164481423192988	-0.29754529514903566	-0.014285714285714285	-0.2272491573761991	-0.0854004689621128	0.24730985876927128	0.19669633107580564	-0.09533506108848575	0.08196651038530176	0.0015037593984962407	-0.03619958988380041	-0.33807411194705855	-0.15825905247004277	-0.007302093346904212	0.1970869575435457	-0.2402714932126697	-0.016935418523620453	-0.28341205890525145
CcpA	-0.06681079719575164	0.19046219722093952	-0.18133159816968222	0.16994842944210034	-0.009361487762898283	-0.025460727929138154	0.24514067443659504	0.07608285171922644	0.1326323067537983	-0.11550498803530283	-0.0027613442656648397	-0.03677427479954662	0.11922253473825616	0.20821536092756426	0.0652250146113384	0.10519480519480519	0.1569224786103189	-0.004658768357398494	-0.057168368574974114	0.08277138359161185	0.15512773047019623	0.03930160531925678	-0.2571428571428571	0.24109364319890636	0.03965457433480403	0.1867524297732937	0.10026020303277468	0.21518134968525737	-0.1667873303167421	-0.02422818248116036	0.04406779661016949
