	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	-0.15191927645162087	-0.11933808499316853	-0.16872395406302482	0.19582202930005427	0.08776904786846539	-0.12340897139399834	0.14916816645205894	0.12200071673583154	0.04250134803599769	0.15682160890127758	0.12277296836574703	0.0035966442849097923	-0.1583654505575689	0.20365464912325607	0.12881837880259098	0.7323529411764705	0.14160128272842276	0.0929007404244623	0.00792414248528599	0.04391113377196758	0.11725558433522584	-0.21637510022450868	0.13188816443279444	0.10581018138371504	0.02375072801397787	-0.04411435550405367	-0.20000538104517573	0.09635602855828926	-0.18558371724994488	0.3427092422326601
AgaR	-0.10472121933539356	0.059055529953501634	0.10910314332404114	-0.056551817688551276	-0.06280445913381297	-0.1193829834154175	-0.1420412113316621	-0.05247254408042461	0.06754281631519679	0.018575580764504728	0.21469734508222088	0.22157251529410465	-0.019979472104695434	0.03432420139663406	-0.2390993786752962	0.21764705882352942	-0.051161204745613975	0.0963662030966844	-0.14850159496234883	-0.14873493773465143	0.040456207254811284	-0.18382419667248479	-0.04587110545695248	-0.12267765969663694	-0.1493069306930693	0.09212195209963975	-0.03900647255419062	-0.001242396183819324	-0.031211512349231037	-0.02317383160351862
AmtR	-0.05541969064288295	0.09197033652754731	0.3865231183312506	-0.3245523602821487	-0.37535658649687337	-0.01751191681132705	-0.38511163476922944	-0.34897636525206605	-0.23227155455814658	-0.1811009856417067	-0.1646364820884638	-0.29303602760291764	0.06497711137360615	-0.27308936330310046	-0.2987443523265436	-0.4088235294117647	-0.024362978295972514	-0.01745901740566051	0.0751272003366899	0.06072063024528741	0.07527167746385159	-0.1137976265447076	-0.19013561563581396	-0.3986813971530996	-0.3319161327897496	0.0069183029849530665	0.08214007275708451	-0.14687232622113158	0.024081156464671506	-0.4621654892094314
AraR	0.08560337686385114	-0.1656710046062471	-0.3159552391561258	0.31958762886597936	0.04811973955422242	0.029092286727244968	-0.06442710527001477	0.10131162748017714	0.03813020416477655	-0.08505430627700283	-0.052495382091906115	0.025357473228829416	-0.07537118715295238	0.22009881333817735	-0.1336577830364992	0.5735294117647058	-0.10461070301493411	-0.1334079656263743	-0.019889475915449012	-0.058752220804641604	-0.23529666604415006	0.16981532257727364	0.2313299184414291	0.13936316521448167	0.2160745486313337	0.05017126194088023	0.07121853330985485	-0.04573424442700945	0.08877293076276616	0.13956868369271544
ArgR	-0.3463942708685858	0.0661688827571693	0.30422785282525966	-0.11893651654910473	-0.1544298715587977	-0.17958055085919786	-0.2832857969412838	-0.14002626294631154	0.02041513521775601	-0.1518826897803622	0.1574691216666404	0.06725611710759774	-0.16025990941833113	0.012751919443171817	-0.4123883280228122	-0.07941176470588235	0.00825045279648186	0.06689742312861997	-0.008922267959623089	0.056909837578183485	0.19152528877121022	-0.08594601493821834	-0.2425938491110261	-0.3442435356103998	-0.3470821199767036	0.24697663391283922	0.14240977982533812	-0.14423516451019433	0.06284436390982241	-0.16301463928624066
BioQ	0.0918459376708854	0.1944523764430264	0.19370543564921883	-0.0958898534997287	0.18163363971336458	0.08357883189803846	-0.03566322652062862	-0.05689686067927173	-0.014224739377533218	-0.06180204988472868	0.04073137721903207	0.19817170703788342	0.1488139848386811	0.06642621843990038	0.024005632301533457	-0.14411764705882352	0.05632561031287743	0.01583741135713853	-0.2282055657667308	-0.06904436162996952	-0.026280144416097405	-0.03952270662778545	-0.08919705181224317	-0.02573515259610532	-0.0780547466511357	-0.09113168520179353	-0.17323703576664407	0.32021003530135783	-0.09784792916129646	0.12264751922321264
BirA	-0.016166196872564265	0.1764484691879566	0.1943387371289956	-0.030371676614215953	-0.41543563631594843	0.1746385375259399	-0.2736836118988329	-0.3308762099927016	-0.26835201329178554	-0.43772809730944673	-0.20143517461048588	-0.26493583035179064	0.1855155908277763	-0.14263004803461882	-0.35490331445336565	-0.11764705882352941	0.1494003748757332	-0.20768904675257913	0.07376390700588802	0.07218901573636709	-0.1031166316086552	-0.03050386349999175	-0.014729307478495787	-0.41074059430379023	-0.039930110658124636	0.1294943535183568	0.1673771966753447	-0.15927284662189425	-0.01024178390691278	-0.20943033349077958
CadR-PbrR	-0.2941467510705817	-0.261848284286361	-0.2493341852746097	0.10925122083559415	0.21190214333660226	-0.06807425459850383	0.04024382442236074	0.17155604700487465	0.1309696779493944	0.103061692806358	0.2541263397067886	0.09155608643504644	-0.27636478962821	0.20700501937910282	0.16581111286178776	0.49117647058823527	0.020836067176865765	0.0009219283118500599	0.06563283606860532	-0.021694512585166435	0.032372387826277674	-0.11311527986069689	0.08775848362434738	0.31500190723223065	0.11720442632498544	-0.08028622787538181	0.15569844868430338	-0.22547146592577672	-0.06728463098338902	-0.13609291818399447
CblR	0.04793314126922955	-0.2287299159468685	-0.0894255616309775	-0.012764514378730331	0.35796336453814387	-0.2826164398278777	0.14672138744864924	0.2775829663745482	0.30984083647625743	0.5150899277875017	0.3352145527451375	0.1239994013132343	-0.2789944116289695	0.28994377693710505	0.11838768549617297	0.24705882352941178	-0.11036292710204869	0.3171844967903425	-0.2927185537421774	-0.12677637022452032	0.02707801182717685	-0.05312217271259018	0.24276274982944304	0.21792642001221954	-0.06844496214327316	-0.16356360439425804	-0.15585534775194004	0.2595553159498012	-0.10011667876092904	0.18010278893142934
CcpA	-0.11554957435846476	0.0796435407310485	0.06633267552911773	0.0793407487791644	-0.3086165998977562	0.028662546437396453	-0.3317234859332026	-0.3570565252462506	-0.2650016261814522	-0.29342861520588825	-0.2004903088066588	-0.16179809691124852	0.062324868968539025	-0.23729510148808466	-0.37497180432731275	0.3235294117647059	0.001731965281704207	-0.17759467257290218	0.08294179246503647	0.08087282201872832	-0.07177714190369744	0.06404565310618769	-0.13239486658804517	-0.29406103789104293	0.019382644146767616	0.19055176868556023	0.20624723525767738	-0.24748297567306626	0.11142801605052575	-0.22322207207520617
