	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	-0.13142066329572277	-0.13019572464607482	-0.17803341696471467	0.09440245775729647	0.12018258665175853	-0.14496877168632893	0.13761962370481343	-0.003622444232013748	0.14927168147457764	0.1597798995105565	0.21069077053506843	-0.057649750848606816	-0.1265913356520945	0.15045467784346592	0.14865495462066308	0.7069143446852425	0.09819670181045541	0.17288534323475352	0.07113359045071287	0.03762092005767443	0.1129485677254576	-0.19504668040799178	0.12223929208175316	0.13281258605617408	0.045951740430703686	0.05180764535120339	-0.14743236809884486	0.09635602855828926	-0.18558371724994488	0.3427092422326601
AgaR	-0.08485304656635775	0.0972964749282143	0.13158597128062777	0.08450384024577573	-0.01316427162664622	-0.054347942134201674	-0.08803501957695438	0.0086426504504599	-0.0003349853789253637	-0.11826818178573562	0.08386005569476451	0.17309073415329296	0.03969760348535062	0.06341076273687123	-0.21777050430635117	0.16615067079463364	0.06378521837914375	0.011821220050239558	-0.08627412228678291	-0.11307800841529116	0.07881379488437784	-0.14042662825632823	0.014311367842089204	-0.17220537626648025	-0.17486788021139166	0.01965943916280321	0.04600169394909326	-0.001242396183819324	-0.031211512349231037	-0.02317383160351862
AmtR	-0.027601061764106365	0.10823975935489191	0.32826562750226873	-0.12485407066052227	-0.363315863646632	0.041157315966476274	-0.3511015884546625	-0.2919615361431287	-0.225609906924438	-0.21513151084860174	-0.18969692645667904	-0.20782313405564634	0.0714241865949863	-0.20721962955730105	-0.29205197468935296	-0.3684210526315789	0.042897332072757	-0.11144807278411771	0.09599986834470096	0.0734052414767776	0.10388092357962103	-0.0524157690450378	-0.037504523512894836	-0.3570622678038266	-0.27146349123980934	-0.005250505005349381	0.0630351212891628	-0.14687232622113158	0.024081156464671506	-0.4621654892094314
AraR	0.029765693916769576	-0.15938493403391538	-0.023866972721934554	0.29913978494623655	0.08434150465455392	0.07054395985693696	-0.019967925151171226	0.12278432106008308	-0.09570147866446416	-0.2316310848224803	-0.16488651904204044	0.07027898641374661	-0.14242392836755507	0.23860082502217392	-0.14360733745076878	0.5583075335397317	-0.15542867607217495	-0.22935087312274346	-0.1505156679590163	-0.0560260424874358	-0.18160191353139887	0.09681391575588646	0.2323740073932507	-0.041287370357833884	-0.016209425227710333	-0.1003863376534763	0.06258369990748734	-0.04573424442700945	0.08877293076276616	0.13956868369271544
ArgR	-0.24216121571742022	0.1360730691113295	0.33716436235520203	0.0759078341013825	-0.11745054945800934	-0.015758287514012703	-0.23494847019544657	-0.05576110031370794	-0.04181276516619212	-0.3127911513966937	0.05594148303074888	0.10046528862693636	-0.051678159227550445	0.021363851044784322	-0.36085204830192263	-0.1867905056759546	0.0932655478211065	-0.03270039661911935	-0.03779366706414004	0.004995436479645133	0.1729766649480894	-0.08453974673304072	-0.14315191489985946	-0.382598186935122	-0.35949418946045963	0.13905696755536784	0.12436349872431973	-0.14423516451019433	0.06284436390982241	-0.16301463928624066
BioQ	-0.0034431263587367963	0.08829362166695003	-0.058164736027331444	-0.1304331797235023	0.18760439561631134	-0.10497517749426147	-0.07099852780873983	-0.164802540163677	0.05606886424308137	0.1312560221097684	0.08871999605818974	0.06500946390146888	0.046857106716317626	0.03507691476548807	0.05460365032224197	0.005159958720330237	0.008870515728960339	0.05509456709335476	-0.04555888723686512	0.012836622447974512	0.004998190924974856	-0.03663389025098431	-0.04594386065641691	0.0782977732397705	0.08542244192874408	0.01292195673054388	-0.06986828055972982	0.32021003530135783	-0.09784792916129646	0.12264751922321264
BirA	0.04583094783400739	0.20442055309033763	0.4696418085731063	0.2780706605222734	-0.251956043972047	0.35179095713446856	-0.20730360739563544	-0.2150846268893465	-0.3883249360647417	-0.6295081184155505	-0.3478564094024529	-0.15625175339977324	0.22533215034644147	-0.09385181908141216	-0.30878535140100777	-0.09597523219814241	0.16420186639345077	-0.34726434243253373	-0.046635254389520084	0.03144581139313268	-0.10011616664023493	-0.041836336203786816	0.05438319779993898	-0.548779931303981	-0.3158011170437941	-0.06691091194353666	0.09607545611508098	-0.15927284662189425	-0.01024178390691278	-0.20943033349077958
CadR-PbrR	-0.23604633006791167	-0.15962248337878718	-0.13683873378529868	0.05523809523809524	0.12712538744115415	-0.019126674851865692	0.07855715648676712	0.16506928863437023	0.17646590436701046	0.01118817636742247	0.23392512949286745	0.06436345354282084	-0.18992971490681268	0.16108797548032366	0.15127077706026978	0.391124871001032	0.07418513337171793	0.04640469007988895	0.09589003496177698	-0.007883117444095845	0.026397245154761696	-0.13153911642029062	0.0792014038268597	0.16751613304419408	0.055336000764724357	-0.04181048719590387	0.11380147516402248	-0.22547146592577672	-0.06728463098338902	-0.13609291818399447
CblR	0.043105806739224234	-0.1728264902223906	0.03592590615491379	0.13571121351766513	0.3463375598980191	-0.18220786846741044	0.165225050181087	0.20517225371838693	0.1060146350844942	0.06788555411549933	0.11185001731327114	0.019132050580291028	-0.21693935461260097	0.30395670318042156	0.14569736643517814	0.32301341589267285	-0.018881129090796457	0.08926728173317182	-0.15409074457319172	-0.050191976492461314	0.005929858401025269	0.03205641345484964	0.26601118417629854	-0.013293532463716009	-0.08257111253738274	-0.11826078945050537	-0.058567286381484375	0.2595553159498012	-0.10011667876092904	0.18010278893142934
CcpA	-0.06844348001324625	0.09607136089117894	0.13527464901510702	0.08105069124423964	-0.2824096928891686	0.0675599209950355	-0.3546508575730405	-0.3038158381807348	-0.19700984375323644	-0.1719316127751022	-0.15475477896235734	-0.014839551998861146	0.04749777814638179	-0.20929441934010257	-0.36654376245443365	0.19711042311661506	-0.0410574184131973	-0.15267297736365348	-0.12142080482245514	-0.046415348241761495	-0.06297544779152082	-0.006001956045116311	-0.09177847423006978	-0.2210364486403007	-0.07199606713187398	0.04623148000029109	0.10014752433197545	-0.24748297567306626	0.11142801605052575	-0.22322207207520617
