	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.12	0.1	0.1	0.1	0.06	0.03	0.0	0.04	0.0	0.0	0.01	0.08	0.04	0.08
AgaR	0.65	0.66	0.39	0.22	0.19	0.0	0.01	0.02	0.0	0.02	0.01	0.01	0.02	0.08
AmtR	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.03	0.0	0.03	0.0	0.0
AraR	0.15	0.19	0.15	0.14	0.06	0.0	0.02	0.0	0.01	0.03	0.01	0.0	0.01	0.03
ArgR	0.15	0.15	0.16	0.05	0.09	0.0	0.01	0.0	0.01	0.04	0.01	0.02	0.01	0.02
BioQ	0.06	0.04	0.03	0.01	0.03	0.0	0.0	0.02	0.02	0.04	0.0	0.07	0.0	0.06
BirA	0.02	0.01	0.04	0.01	0.02	0.0	0.01	0.01	0.0	0.07	0.01	0.07	0.0	0.02
CadR-PbrR	0.01	0.0	0.0	0.03	0.01	0.0	0.06	0.0	0.0	0.05	0.02	0.02	0.01	0.0
CblR	0.01	0.02	0.0	0.01	0.01	0.01	0.02	0.01	0.02	0.0	0.0	0.02	0.07	0.13
CcpA	0.08	0.05	0.07	0.0	0.0	0.03	0.01	0.01	0.0	0.02	0.01	0.02	0.0	0.03
CsoR	0.26	0.23	0.24	0.07	0.13	0.01	0.01	0.02	0.0	0.02	0.04	0.02	0.03	0.0
CueR	0.17	0.18	0.13	0.05	0.06	0.0	0.0	0.0	0.0	0.06	0.0	0.01	0.04	0.05
CzrA	0.21	0.24	0.23	0.09	0.14	0.01	0.0	0.0	0.02	0.06	0.01	0.0	0.0	0.01
DasR	0.03	0.01	0.0	0.01	0.0	0.0	0.09	0.06	0.01	0.09	0.0	0.0	0.07	0.01
ExuR_UxuR	0.01	0.0	0.0	0.0	0.01	0.0	0.06	0.06	0.01	0.01	0.0	0.01	0.03	0.0
FUR	0.34	0.36	0.27	0.11	0.16	0.0	0.0	0.0	0.0	0.06	0.01	0.02	0.01	0.05
FabR	0.43	0.41	0.33	0.12	0.19	0.01	0.1	0.08	0.0	0.0	0.08	0.01	0.0	0.01
FadP	0.06	0.05	0.08	0.0	0.06	0.0	0.01	0.01	0.02	0.04	0.0	0.02	0.01	0.04
FadR	0.0	0.02	0.0	0.01	0.01	0.05	0.0	0.0	0.03	0.01	0.02	0.06	0.02	0.08
FixJ	0.05	0.05	0.05	0.05	0.06	0.0	0.0	0.0	0.0	0.0	0.06	0.01	0.0	0.0
FnrN_FixK	0.0	0.01	0.0	0.0	0.01	0.02	0.06	0.03	0.0	0.01	0.06	0.03	0.02	0.02
FruR	0.04	0.03	0.03	0.01	0.02	0.01	0.0	0.01	0.0	0.03	0.0	0.05	0.13	0.1
GguR	0.42	0.36	0.21	0.18	0.14	0.02	0.31	0.24	0.02	0.02	0.05	0.0	0.0	0.01
GlcC	0.02	0.03	0.0	0.02	0.0	0.0	0.09	0.03	0.03	0.04	0.01	0.04	0.0	0.01
GntR	0.39	0.34	0.23	0.13	0.16	0.0	0.04	0.04	0.01	0.0	0.05	0.04	0.03	0.12
GulR	0.37	0.39	0.25	0.12	0.11	0.0	0.01	0.01	0.01	0.03	0.0	0.0	0.01	0.03
HcpR	0.0	0.0	0.03	0.01	0.04	0.0	0.01	0.01	0.0	0.01	0.03	0.0	0.0	0.01
HexR	0.07	0.08	0.04	0.06	0.02	0.0	0.03	0.05	0.0	0.01	0.0	0.03	0.0	0.0
HisR	0.08	0.11	0.12	0.01	0.03	0.0	0.05	0.03	0.0	0.01	0.0	0.02	0.01	0.0
HrcA	0.38	0.31	0.21	0.12	0.09	0.01	0.01	0.01	0.0	0.0	0.03	0.0	0.0	0.02
HutC	0.01	0.04	0.04	0.06	0.02	0.02	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.01
HypR	0.05	0.03	0.02	0.11	0.05	0.01	0.01	0.02	0.01	0.15	0.04	0.0	0.01	0.0
Irr	0.22	0.2	0.15	0.06	0.05	0.0	0.02	0.01	0.0	0.01	0.03	0.01	0.0	0.01
IscR	0.12	0.14	0.12	0.04	0.08	0.0	0.0	0.01	0.02	0.01	0.03	0.03	0.02	0.05
KdgR	0.29	0.22	0.19	0.07	0.1	0.01	0.0	0.0	0.0	0.03	0.02	0.08	0.0	0.06
LexA	0.2	0.27	0.15	0.09	0.14	0.02	0.03	0.02	0.0	0.0	0.06	0.06	0.01	0.04
LiuQ	0.02	0.05	0.02	0.07	0.02	0.02	0.01	0.0	0.03	0.0	0.0	0.02	0.02	0.02
LiuR	0.5	0.52	0.38	0.22	0.23	0.0	0.01	0.04	0.0	0.0	0.04	0.0	0.01	0.06
LldR	0.08	0.08	0.11	0.05	0.07	0.0	0.02	0.0	0.01	0.0	0.02	0.0	0.01	0.01
LtbR	0.02	0.04	0.01	0.03	0.01	0.0	0.01	0.03	0.0	0.01	0.02	0.06	0.02	0.04
MerR	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.01	0.01	0.05	0.0	0.03	0.01	0.01
MetJ	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.04	0.01	0.01	0.0	0.03	0.01	0.08
MetR	0.35	0.32	0.25	0.15	0.16	0.01	0.0	0.01	0.0	0.02	0.03	0.03	0.03	0.09
MntR	0.14	0.12	0.14	0.06	0.08	0.0	0.0	0.0	0.01	0.03	0.02	0.04	0.02	0.04
ModE	0.07	0.09	0.12	0.06	0.06	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
NadQ	0.11	0.1	0.1	0.06	0.08	0.0	0.0	0.0	0.0	0.02	0.04	0.0	0.01	0.0
NagC	0.25	0.24	0.18	0.07	0.1	0.0	0.0	0.0	0.0	0.03	0.04	0.04	0.01	0.04
NagQ	0.08	0.07	0.04	0.01	0.0	0.0	0.12	0.06	0.02	0.01	0.0	0.01	0.0	0.0
NagR	0.22	0.22	0.17	0.04	0.11	0.0	0.02	0.04	0.0	0.01	0.02	0.0	0.0	0.01
NarP	0.24	0.28	0.12	0.02	0.04	0.03	0.0	0.0	0.0	0.01	0.01	0.01	0.02	0.0
NiaR	0.02	0.03	0.02	0.04	0.0	0.0	0.0	0.02	0.02	0.0	0.01	0.03	0.03	0.05
NifA	0.02	0.03	0.01	0.03	0.01	0.0	0.01	0.01	0.0	0.06	0.01	0.01	0.02	0.01
NikR	0.02	0.02	0.0	0.0	0.0	0.0	0.04	0.06	0.02	0.0	0.0	0.0	0.05	0.0
NmlR	0.13	0.12	0.05	0.09	0.03	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01
NnrR	0.31	0.33	0.18	0.07	0.14	0.0	0.02	0.01	0.0	0.03	0.02	0.02	0.02	0.1
NorR	0.07	0.06	0.03	0.09	0.0	0.04	0.0	0.04	0.01	0.01	0.01	0.01	0.1	0.12
NrdR	0.01	0.02	0.06	0.0	0.11	0.01	0.12	0.01	0.0	0.01	0.03	0.01	0.0	0.01
NrtR	0.12	0.09	0.11	0.04	0.06	0.0	0.0	0.0	0.0	0.03	0.02	0.05	0.01	0.04
NsrR	0.2	0.21	0.19	0.1	0.11	0.0	0.0	0.01	0.0	0.02	0.01	0.01	0.0	0.02
