	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.44	0.11	0.03	0.1	0.13	0.11	0.0	0.02	0.09	0.25	0.01	0.02	0.17	0.04		
AgaR	0.3	0.41	0.06	0.17	0.11	0.1	0.13	0.04	0.02	0.21	0.0	0.01	0.03	0.03		
AmtR	0.02	0.01	0.04	0.01	0.02	0.01	0.04	0.02	0.0	0.0	0.03	0.05	0.03	0.06		
AraR	0.07	0.12	0.03	0.15	0.03	0.11	0.32	0.11	0.06	0.21	0.04	0.13	0.01	0.14		
ArgR	0.18	0.08	0.14	0.06	0.12	0.19	0.04	0.02	0.12	0.34	0.05	0.2	0.06	0.02		
BioQ	0.18	0.16	0.01	0.1	0.09	0.14	0.05	0.01	0.09	0.24	0.01	0.22	0.04	0.0		
BirA	0.12	0.0	0.08	0.03	0.04	0.22	0.0	0.01	0.07	0.21	0.03	0.12	0.0	0.0		
CadR-PbrR	0.09	0.04	0.0	0.02	0.0	0.0	0.28	0.3	0.02	0.0	0.0	0.01	0.0	0.27		
CblR	0.0	0.02	0.0	0.02	0.01	0.01	0.0	0.0	0.11	0.17	0.14	0.1	0.0	0.0		
CcpA	0.02	0.02	0.08	0.03	0.0	0.05	0.02	0.01	0.0	0.01	0.0	0.0	0.08	0.0		
CsoR	0.12	0.01	0.16	0.0	0.12	0.02	0.0	0.01	0.0	0.08	0.02	0.0	0.11	0.0		
CueR	0.33	0.12	0.04	0.13	0.08	0.15	0.04	0.03	0.04	0.33	0.0	0.07	0.04	0.02		
CzrA	0.3	0.16	0.14	0.07	0.14	0.25	0.04	0.02	0.12	0.34	0.03	0.19	0.05	0.0		
DasR	0.02	0.0	0.04	0.02	0.07	0.02	0.08	0.12	0.03	0.15	0.01	0.21	0.06	0.13		
ExuR_UxuR	0.0	0.03	0.03	0.0	0.0	0.01	0.07	0.16	0.01	0.01	0.03	0.18	0.0	0.23		
FUR	0.29	0.18	0.12	0.09	0.15	0.2	0.03	0.01	0.09	0.38	0.02	0.27	0.07	0.01		
FabR	0.1	0.27	0.13	0.0	0.17	0.02	0.0	0.01	0.0	0.03	0.08	0.04	0.15	0.01		
FadP	0.07	0.0	0.13	0.0	0.13	0.03	0.02	0.03	0.04	0.14	0.01	0.05	0.12	0.05		
FadR	0.02	0.07	0.01	0.0	0.03	0.07	0.01	0.01	0.0	0.03	0.0	0.15	0.0	0.0		
FixJ	0.16	0.02	0.02	0.03	0.12	0.1	0.11	0.06	0.01	0.02	0.06	0.16	0.18	0.05		
FnrN_FixK	0.0	0.01	0.07	0.11	0.01	0.03	0.3	0.27	0.0	0.07	0.0	0.01	0.0	0.33		
FruR	0.11	0.01	0.03	0.04	0.16	0.12	0.0	0.0	0.08	0.18	0.0	0.05	0.12	0.0		
GguR	0.31	0.11	0.01	0.02	0.04	0.04	0.14	0.16	0.0	0.01	0.03	0.04	0.03	0.23		
GlcC	0.01	0.0	0.03	0.02	0.02	0.07	0.06	0.05	0.09	0.09	0.02	0.02	0.0	0.06		
GntR	0.37	0.12	0.04	0.02	0.09	0.35	0.0	0.0	0.07	0.25	0.0	0.06	0.04	0.02		
GulR	0.19	0.15	0.07	0.09	0.16	0.1	0.0	0.01	0.12	0.26	0.01	0.05	0.14	0.0		
HcpR	0.16	0.1	0.14	0.01	0.13	0.14	0.08	0.11	0.03	0.27	0.0	0.11	0.12	0.08		
HexR	0.0	0.15	0.01	0.04	0.01	0.0	0.08	0.02	0.02	0.0	0.03	0.03	0.0	0.01		
