	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.19	0.19	0.13	0.16	0.06	0.08	0.01	0.08	0.0	0.0	0.02	0.1	0.14	0.09
AgaR	0.71	0.75	0.41	0.27	0.11	0.01	0.03	0.04	0.0	0.02	0.03	0.03	0.09	0.12
AmtR	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.05	0.0	0.04	0.0	0.0
AraR	0.23	0.29	0.21	0.24	0.07	0.0	0.03	0.0	0.0	0.04	0.01	0.0	0.06	0.03
ArgR	0.25	0.3	0.22	0.13	0.09	0.0	0.01	0.0	0.01	0.05	0.0	0.02	0.14	0.04
BioQ	0.08	0.09	0.03	0.05	0.01	0.02	0.0	0.02	0.01	0.04	0.0	0.0	0.02	0.07
BirA	0.06	0.08	0.07	0.06	0.03	0.01	0.03	0.0	0.01	0.12	0.0	0.04	0.06	0.04
CadR-PbrR	0.01	0.0	0.0	0.03	0.01	0.0	0.03	0.0	0.0	0.04	0.01	0.01	0.01	0.0
CblR	0.04	0.02	0.01	0.01	0.01	0.02	0.1	0.02	0.02	0.0	0.01	0.04	0.06	0.06
CcpA	0.15	0.13	0.12	0.01	0.0	0.06	0.01	0.02	0.0	0.01	0.01	0.03	0.02	0.05
CsoR	0.38	0.39	0.32	0.08	0.14	0.0	0.04	0.06	0.01	0.02	0.05	0.03	0.01	0.0
CueR	0.26	0.33	0.15	0.09	0.03	0.0	0.0	0.01	0.0	0.08	0.0	0.0	0.09	0.04
CzrA	0.28	0.37	0.27	0.14	0.09	0.02	0.0	0.0	0.02	0.08	0.0	0.0	0.05	0.01
DasR	0.03	0.01	0.01	0.0	0.01	0.06	0.06	0.02	0.0	0.09	0.01	0.01	0.14	0.03
ExuR_UxuR	0.01	0.0	0.0	0.0	0.01	0.03	0.08	0.08	0.01	0.0	0.02	0.01	0.02	0.0
FUR	0.47	0.55	0.34	0.22	0.14	0.0	0.01	0.02	0.0	0.05	0.02	0.03	0.11	0.08
FabR	0.45	0.45	0.37	0.17	0.16	0.07	0.13	0.11	0.02	0.04	0.11	0.05	0.01	0.0
FadP	0.1	0.11	0.11	0.02	0.06	0.0	0.02	0.02	0.02	0.02	0.01	0.05	0.09	0.08
FadR	0.0	0.0	0.0	0.0	0.01	0.06	0.0	0.0	0.04	0.01	0.0	0.04	0.12	0.15
FixJ	0.13	0.15	0.11	0.15	0.11	0.01	0.02	0.02	0.01	0.0	0.08	0.02	0.03	0.01
FnrN_FixK	0.0	0.01	0.02	0.05	0.03	0.01	0.1	0.04	0.0	0.05	0.05	0.01	0.1	0.02
FruR	0.06	0.06	0.04	0.03	0.02	0.01	0.01	0.02	0.0	0.03	0.01	0.07	0.27	0.14
GguR	0.46	0.51	0.2	0.21	0.07	0.02	0.35	0.24	0.02	0.03	0.05	0.0	0.01	0.01
GlcC	0.01	0.0	0.0	0.01	0.0	0.03	0.18	0.05	0.02	0.07	0.0	0.0	0.01	0.02
GntR	0.46	0.49	0.25	0.21	0.11	0.01	0.04	0.03	0.02	0.0	0.06	0.09	0.1	0.11
GulR	0.41	0.47	0.26	0.17	0.05	0.0	0.02	0.01	0.0	0.04	0.0	0.0	0.13	0.08
HcpR	0.0	0.01	0.04	0.0	0.05	0.04	0.01	0.02	0.0	0.06	0.01	0.01	0.0	0.01
HexR	0.06	0.06	0.04	0.04	0.02	0.04	0.04	0.05	0.0	0.02	0.01	0.0	0.01	0.0
HisR	0.01	0.02	0.09	0.0	0.0	0.01	0.06	0.02	0.0	0.0	0.0	0.03	0.04	0.0
HrcA	0.49	0.48	0.24	0.23	0.07	0.01	0.02	0.02	0.0	0.0	0.04	0.0	0.03	0.07
HutC	0.03	0.07	0.06	0.11	0.02	0.03	0.05	0.0	0.02	0.01	0.0	0.01	0.05	0.0
HypR	0.07	0.06	0.02	0.14	0.08	0.08	0.04	0.04	0.03	0.19	0.11	0.02	0.01	0.0
Irr	0.29	0.36	0.2	0.13	0.03	0.0	0.03	0.01	0.0	0.01	0.01	0.0	0.0	0.01
IscR	0.21	0.25	0.17	0.1	0.1	0.01	0.02	0.05	0.03	0.02	0.02	0.05	0.11	0.07
KdgR	0.49	0.49	0.27	0.18	0.11	0.03	0.0	0.01	0.0	0.02	0.02	0.09	0.09	0.16
LexA	0.19	0.24	0.13	0.12	0.09	0.02	0.09	0.06	0.0	0.0	0.15	0.0	0.02	0.05
LiuQ	0.01	0.02	0.0	0.07	0.0	0.02	0.03	0.0	0.05	0.0	0.02	0.01	0.03	0.03
LiuR	0.59	0.65	0.38	0.27	0.17	0.01	0.05	0.1	0.0	0.0	0.06	0.01	0.03	0.04
LldR	0.07	0.09	0.1	0.06	0.03	0.0	0.05	0.0	0.0	0.0	0.01	0.01	0.0	0.0
LtbR	0.0	0.0	0.11	0.01	0.02	0.0	0.02	0.03	0.01	0.01	0.03	0.04	0.05	0.07
MerR	0.07	0.09	0.05	0.05	0.01	0.01	0.0	0.0	0.02	0.05	0.0	0.03	0.03	0.01
MetJ	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.06	0.0	0.0	0.01	0.08	0.02	0.13
MetR	0.5	0.55	0.29	0.27	0.14	0.03	0.01	0.03	0.0	0.01	0.02	0.04	0.15	0.17
MntR	0.28	0.32	0.21	0.16	0.11	0.0	0.0	0.0	0.0	0.04	0.01	0.04	0.2	0.11
ModE	0.09	0.14	0.14	0.09	0.03	0.01	0.01	0.02	0.0	0.0	0.0	0.0	0.04	0.0
NadQ	0.2	0.27	0.16	0.13	0.09	0.0	0.0	0.0	0.0	0.06	0.03	0.01	0.01	0.0
NagC	0.47	0.51	0.29	0.21	0.14	0.0	0.0	0.01	0.0	0.04	0.03	0.06	0.12	0.14
NagQ	0.13	0.14	0.07	0.0	0.01	0.0	0.17	0.06	0.01	0.01	0.0	0.01	0.02	0.0
NagR	0.23	0.26	0.21	0.03	0.1	0.0	0.02	0.05	0.0	0.02	0.05	0.01	0.01	0.01
NarP	0.22	0.23	0.08	0.02	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.0
NiaR	0.02	0.03	0.03	0.06	0.0	0.02	0.0	0.02	0.02	0.01	0.01	0.04	0.03	0.03
NifA	0.05	0.07	0.02	0.06	0.01	0.01	0.0	0.03	0.0	0.1	0.0	0.0	0.04	0.0
NikR	0.04	0.03	0.0	0.01	0.01	0.04	0.05	0.1	0.01	0.0	0.0	0.0	0.04	0.0
NmlR	0.19	0.2	0.05	0.15	0.05	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01
NnrR	0.46	0.49	0.25	0.13	0.15	0.0	0.06	0.04	0.01	0.04	0.07	0.04	0.1	0.13
NorR	0.11	0.1	0.04	0.09	0.0	0.05	0.01	0.04	0.0	0.0	0.01	0.02	0.15	0.17
NrdR	0.0	0.0	0.04	0.0	0.08	0.02	0.15	0.01	0.0	0.03	0.07	0.01	0.01	0.01
NrtR	0.25	0.29	0.18	0.12	0.08	0.0	0.0	0.01	0.0	0.05	0.01	0.03	0.13	0.1
NsrR	0.3	0.38	0.23	0.19	0.1	0.0	0.0	0.03	0.0	0.03	0.0	0.01	0.09	0.04
NtrC	0.57	0.64	0.35	0.22	0.14	0.0	0.02	0.02	0.0	0.02	0.03	0.02	0.12	0.12
PaaR	0.18	0.23	0.23	0.06	0.05	0.02	0.0	0.0	0.01	0.03	0.01	0.0	0.0	0.0
PdhR	0.11	0.12	0.05	0.08	0.01	0.0	0.0	0.01	0.0	0.0	0.02	0.03	0.01	0.02
PdxR	0.27	0.28	0.08	0.28	0.1	0.0	0.0	0.0	0.0	0.0	0.07	0.01	0.06	0.02
PhnF	0.28	0.31	0.11	0.23	0.12	0.02	0.02	0.06	0.02	0.0	0.11	0.02	0.18	0.07
PhnR	0.16	0.22	0.15	0.16	0.03	0.01	0.01	0.0	0.04	0.07	0.02	0.0	0.03	0.0
Phr	0.18	0.22	0.12	0.09	0.07	0.0	0.0	0.02	0.0	0.06	0.0	0.03	0.08	0.07
PhrR	0.11	0.11	0.05	0.08	0.02	0.0	0.01	0.0	0.0	0.02	0.0	0.03	0.05	0.01
PhsR	0.24	0.25	0.18	0.04	0.03	0.0	0.07	0.02	0.0	0.0	0.0	0.03	0.0	0.05
PrpR	0.07	0.08	0.06	0.04	0.01	0.02	0.0	0.02	0.0	0.01	0.04	0.0	0.0	0.0
PsrA	0.04	0.05	0.06	0.02	0.01	0.01	0.01	0.0	0.02	0.04	0.01	0.1	0.07	0.01
PurR	0.41	0.49	0.3	0.24	0.09	0.0	0.02	0.07	0.02	0.01	0.01	0.0	0.03	0.01
QorR	0.09	0.09	0.05	0.03	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.03
RbkR	0.3	0.32	0.16	0.13	0.1	0.03	0.02	0.04	0.0	0.02	0.03	0.05	0.13	0.17
RbsR	0.12	0.16	0.12	0.06	0.07	0.0	0.05	0.1	0.01	0.03	0.02	0.01	0.01	0.0
Rex	0.0	0.0	0.01	0.02	0.0	0.02	0.05	0.01	0.0	0.03	0.01	0.01	0.04	0.02
RutR	0.02	0.02	0.0	0.0	0.0	0.0	0.05	0.07	0.02	0.02	0.0	0.01	0.0	0.0
SahR_SamR	0.52	0.59	0.34	0.3	0.14	0.0	0.0	0.02	0.0	0.02	0.02	0.01	0.22	0.17
SdaR	0.09	0.09	0.01	0.07	0.01	0.01	0.05	0.1	0.02	0.02	0.01	0.0	0.04	0.0
SiaR	0.35	0.42	0.22	0.27	0.1	0.0	0.0	0.05	0.0	0.01	0.04	0.0	0.01	0.02
SoxR	0.09	0.12	0.02	0.05	0.0	0.01	0.05	0.09	0.0	0.01	0.01	0.09	0.1	0.09
ThiR	0.33	0.35	0.23	0.16	0.17	0.01	0.01	0.0	0.0	0.04	0.06	0.08	0.23	0.21
TrpR	0.08	0.06	0.11	0.02	0.01	0.01	0.03	0.0	0.01	0.0	0.0	0.0	0.02	0.0
TtrR	0.06	0.05	0.06	0.01	0.08	0.06	0.12	0.01	0.03	0.02	0.11	0.09	0.0	0.0
TyrR	0.05	0.04	0.0	0.01	0.03	0.0	0.04	0.01	0.01	0.01	0.05	0.0	0.01	0.0
VanR	0.01	0.01	0.02	0.02	0.0	0.01	0.02	0.07	0.0	0.0	0.0	0.03	0.07	0.03
XylR	0.23	0.26	0.21	0.1	0.11	0.0	0.01	0.0	0.0	0.03	0.04	0.02	0.1	0.05
ZntR	0.16	0.17	0.08	0.17	0.03	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.01	0.0
Zur	0.31	0.36	0.2	0.17	0.07	0.0	0.0	0.0	0.0	0.06	0.0	0.04	0.13	0.12
