	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.01	0.0	0.04	0.01	0.01	0.01	0.0	0.03	0.01	0.01	0.01	0.1	0.0	0.0	0.0	0.04
AgaR	0.18	0.08	0.09	0.02	0.05	0.0	0.01	0.0	0.08	0.01	0.04	0.13	0.09	0.01	0.0	0.02
AmtR	0.01	0.0	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.05	0.01	0.06	0.03	0.0	0.0	0.0
AraR	0.0	0.0	0.04	0.02	0.0	0.0	0.0	0.01	0.04	0.01	0.02	0.06	0.0	0.0	0.01	0.07
ArgR	0.02	0.0	0.04	0.02	0.02	0.01	0.0	0.0	0.0	0.01	0.03	0.09	0.03	0.0	0.01	0.02
BioQ	0.01	0.02	0.01	0.0	0.01	0.0	0.07	0.11	0.07	0.04	0.0	0.08	0.16	0.01	0.0	0.02
BirA	0.01	0.01	0.04	0.01	0.02	0.0	0.0	0.0	0.0	0.03	0.04	0.15	0.03	0.0	0.0	0.03
CadR-PbrR	0.08	0.04	0.03	0.08	0.02	0.02	0.0	0.11	0.04	0.07	0.04	0.0	0.04	0.03	0.03	0.02
CblR	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.01	0.01	0.02	0.05	0.01	0.03	0.03
CcpA	0.0	0.0	0.0	0.04	0.04	0.01	0.0	0.02	0.01	0.01	0.01	0.02	0.2	0.0	0.0	0.0
CsoR	0.03	0.0	0.01	0.01	0.03	0.03	0.0	0.0	0.0	0.0	0.07	0.02	0.14	0.0	0.1	0.05
CueR	0.01	0.03	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.02	0.01	0.0	0.04	0.03
CzrA	0.0	0.01	0.04	0.0	0.04	0.0	0.0	0.0	0.01	0.02	0.05	0.06	0.05	0.0	0.0	0.01
DasR	0.0	0.02	0.0	0.05	0.01	0.0	0.0	0.0	0.01	0.09	0.02	0.04	0.04	0.0	0.03	0.0
ExuR_UxuR	0.01	0.0	0.05	0.03	0.05	0.04	0.04	0.12	0.04	0.05	0.04	0.01	0.14	0.03	0.0	0.0
FUR	0.08	0.02	0.08	0.01	0.04	0.0	0.0	0.0	0.02	0.04	0.04	0.14	0.1	0.0	0.03	0.06
FabR	0.15	0.12	0.05	0.0	0.03	0.0	0.0	0.0	0.05	0.0	0.03	0.03	0.1	0.03	0.0	0.01
FadP	0.0	0.0	0.0	0.01	0.02	0.0	0.02	0.01	0.02	0.01	0.01	0.05	0.03	0.0	0.02	0.04
FadR	0.1	0.01	0.15	0.02	0.03	0.06	0.07	0.03	0.05	0.0	0.07	0.09	0.05	0.02	0.03	0.09
FixJ	0.01	0.0	0.04	0.02	0.0	0.01	0.01	0.0	0.01	0.0	0.03	0.02	0.01	0.0	0.0	0.0
FnrN_FixK	0.0	0.03	0.02	0.01	0.01	0.04	0.01	0.02	0.0	0.0	0.06	0.01	0.16	0.04	0.01	0.0
FruR	0.05	0.03	0.05	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.1	0.03	0.0	0.11	0.08
GguR	0.02	0.0	0.03	0.01	0.01	0.04	0.17	0.1	0.07	0.03	0.06	0.02	0.12	0.07	0.0	0.0
GlcC	0.02	0.01	0.0	0.08	0.01	0.0	0.02	0.01	0.0	0.0	0.02	0.04	0.04	0.0	0.04	0.03
GntR	0.13	0.03	0.11	0.0	0.04	0.05	0.02	0.0	0.05	0.0	0.03	0.11	0.02	0.0	0.06	0.17
GulR	0.07	0.03	0.06	0.0	0.0	0.01	0.04	0.01	0.04	0.0	0.01	0.05	0.01	0.0	0.03	0.04
HcpR	0.03	0.02	0.0	0.02	0.01	0.0	0.01	0.0	0.0	0.0	0.04	0.0	0.16	0.01	0.01	0.0
HexR	0.01	0.02	0.02	0.07	0.0	0.02	0.07	0.11	0.06	0.02	0.0	0.01	0.0	0.04	0.0	0.0
