	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.23	0.13	0.0	0.05	0.01	0.03	0.36	0.23	0.0	0.01	0.0	0.09	0.0	0.18	0.0	0.04
AgaR	0.5	0.1	0.01	0.02	0.04	0.0	0.39	0.2	0.01	0.0	0.03	0.1	0.06	0.22	0.0	0.02
AmtR	0.03	0.0	0.0	0.01	0.01	0.01	0.05	0.0	0.01	0.05	0.01	0.05	0.01	0.0	0.0	0.0
AraR	0.16	0.06	0.0	0.06	0.0	0.0	0.27	0.24	0.0	0.0	0.02	0.05	0.01	0.27	0.01	0.07
ArgR	0.37	0.26	0.0	0.02	0.02	0.04	0.49	0.22	0.0	0.0	0.02	0.07	0.01	0.28	0.01	0.02
BioQ	0.01	0.04	0.03	0.0	0.01	0.0	0.04	0.02	0.07	0.03	0.0	0.07	0.15	0.07	0.0	0.02
BirA	0.36	0.29	0.0	0.02	0.01	0.02	0.5	0.28	0.0	0.0	0.03	0.11	0.0	0.32	0.0	0.03
CadR-PbrR	0.0	0.01	0.01	0.05	0.02	0.07	0.0	0.05	0.02	0.02	0.05	0.0	0.01	0.02	0.03	0.02
CblR	0.0	0.05	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.01	0.02	0.01	0.0	0.03	0.03
CcpA	0.1	0.03	0.01	0.0	0.04	0.0	0.09	0.03	0.02	0.0	0.02	0.01	0.18	0.06	0.0	0.0
CsoR	0.21	0.07	0.01	0.01	0.03	0.0	0.22	0.06	0.0	0.0	0.07	0.02	0.08	0.07	0.1	0.05
CueR	0.17	0.2	0.02	0.0	0.0	0.02	0.36	0.16	0.0	0.01	0.0	0.02	0.02	0.19	0.04	0.03
CzrA	0.33	0.26	0.0	0.03	0.03	0.02	0.52	0.27	0.0	0.0	0.04	0.04	0.02	0.32	0.0	0.01
DasR	0.07	0.11	0.0	0.01	0.01	0.0	0.16	0.04	0.01	0.03	0.02	0.03	0.02	0.06	0.03	0.0
ExuR_UxuR	0.02	0.0	0.03	0.02	0.05	0.02	0.02	0.04	0.02	0.02	0.02	0.01	0.12	0.02	0.0	0.0
