	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.12	0.0	0.0	0.03	0.0	0.21	0.17	0.16	0.01	0.02	0.01	0.05		
AgaR	0.22	0.28	0.04	0.14	0.11	0.12	0.06	0.03	0.02	0.18	0.0	0.07		
AmtR	0.0	0.05	0.06	0.0	0.0	0.04	0.03	0.01	0.0	0.03	0.0	0.07		
AraR	0.23	0.25	0.04	0.19	0.04	0.27	0.22	0.08	0.13	0.27	0.01	0.12		
ArgR	0.15	0.05	0.08	0.05	0.06	0.27	0.03	0.02	0.14	0.31	0.05	0.25		
BioQ	0.17	0.08	0.02	0.13	0.03	0.18	0.01	0.0	0.15	0.22	0.0	0.24		
BirA	0.1	0.01	0.03	0.09	0.04	0.22	0.02	0.01	0.07	0.18	0.03	0.06		
CadR-PbrR	0.05	0.02	0.0	0.03	0.02	0.0	0.3	0.26	0.02	0.0	0.03	0.04		
CblR	0.01	0.14	0.04	0.0	0.03	0.01	0.0	0.0	0.01	0.03	0.0	0.01		
CcpA	0.0	0.09	0.05	0.04	0.02	0.1	0.03	0.02	0.05	0.0	0.0	0.01		
CsoR	0.05	0.01	0.07	0.02	0.12	0.01	0.08	0.08	0.02	0.06	0.01	0.03		
CueR	0.22	0.06	0.04	0.11	0.02	0.12	0.03	0.02	0.02	0.22	0.05	0.03		
CzrA	0.22	0.15	0.12	0.06	0.09	0.29	0.05	0.03	0.19	0.33	0.04	0.18		
DasR	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.03	0.18		
ExuR_UxuR	0.01	0.03	0.03	0.0	0.01	0.0	0.06	0.22	0.01	0.02	0.0	0.05		
FUR	0.24	0.13	0.07	0.08	0.09	0.24	0.04	0.01	0.09	0.33	0.03	0.25		
FabR	0.05	0.16	0.03	0.0	0.07	0.03	0.04	0.06	0.0	0.0	0.11	0.02		
FadP	0.06	0.0	0.15	0.0	0.07	0.09	0.02	0.06	0.05	0.15	0.03	0.16		
FadR	0.02	0.06	0.0	0.0	0.01	0.04	0.03	0.03	0.0	0.01	0.01	0.26		
FixJ	0.04	0.0	0.06	0.03	0.02	0.11	0.01	0.0	0.0	0.04	0.0	0.2		
FnrN_FixK	0.0	0.0	0.0	0.11	0.01	0.0	0.13	0.08	0.01	0.02	0.0	0.02		
FruR	0.09	0.01	0.01	0.07	0.07	0.05	0.0	0.01	0.01	0.06	0.0	0.01		
GguR	0.23	0.03	0.0	0.0	0.02	0.06	0.12	0.12	0.02	0.01	0.01	0.03		
GlcC	0.0	0.0	0.09	0.01	0.03	0.08	0.09	0.1	0.05	0.12	0.01	0.01		
