	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.18	0.16	0.12	0.13	0.09	0.02	0.01	0.03	0.01	0.01	0.03	0.03	0.12	0.02	0.01	0.03
AgaR	0.56	0.49	0.33	0.19	0.14	0.0	0.04	0.04	0.0	0.02	0.02	0.03	0.01	0.04	0.03	0.12
AmtR	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.02	0.0	0.01	0.0	0.01	0.0	0.07	0.01	0.02
AraR	0.19	0.21	0.18	0.08	0.06	0.0	0.0	0.0	0.01	0.05	0.0	0.01	0.01	0.0	0.01	0.03
ArgR	0.1	0.09	0.11	0.03	0.06	0.0	0.0	0.0	0.01	0.06	0.01	0.02	0.04	0.0	0.02	0.03
BioQ	0.18	0.18	0.16	0.06	0.08	0.0	0.0	0.0	0.01	0.04	0.01	0.05	0.01	0.0	0.05	0.07
BirA	0.02	0.01	0.03	0.0	0.01	0.01	0.0	0.0	0.0	0.05	0.01	0.08	0.01	0.0	0.0	0.02
CadR-PbrR	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.0	0.01	0.13	0.01	0.03	0.03	0.05	0.01	0.01
CblR	0.2	0.22	0.11	0.03	0.08	0.0	0.2	0.15	0.03	0.0	0.01	0.01	0.04	0.16	0.07	0.11
CcpA	0.05	0.02	0.05	0.0	0.0	0.05	0.01	0.0	0.0	0.03	0.0	0.06	0.0	0.0	0.0	0.02
CsoR	0.07	0.05	0.07	0.07	0.03	0.0	0.03	0.02	0.01	0.04	0.03	0.03	0.02	0.03	0.0	0.0
CueR	0.12	0.12	0.08	0.03	0.06	0.0	0.01	0.01	0.0	0.07	0.0	0.01	0.03	0.02	0.04	0.08
CzrA	0.14	0.15	0.16	0.04	0.1	0.0	0.0	0.0	0.01	0.06	0.0	0.01	0.04	0.01	0.0	0.01
DasR	0.04	0.05	0.0	0.0	0.01	0.01	0.05	0.03	0.0	0.07	0.0	0.02	0.01	0.07	0.09	0.03
ExuR_UxuR	0.09	0.04	0.01	0.03	0.01	0.02	0.13	0.14	0.01	0.02	0.03	0.05	0.02	0.25	0.01	0.01
FabR	0.52	0.47	0.29	0.16	0.2	0.01	0.08	0.1	0.01	0.0	0.09	0.01	0.13	0.11	0.0	0.07
FadP	0.16	0.14	0.12	0.05	0.07	0.01	0.01	0.01	0.0	0.02	0.0	0.01	0.05	0.01	0.01	0.06
FadR	0.01	0.04	0.0	0.03	0.0	0.04	0.0	0.0	0.02	0.0	0.03	0.11	0.0	0.03	0.03	0.09
FixJ	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.06	0.02	0.02	0.02	0.0	0.03	0.02
FnrN_FixK	0.03	0.06	0.0	0.0	0.0	0.03	0.03	0.01	0.01	0.0	0.04	0.08	0.02	0.11	0.01	0.03
FruR	0.03	0.02	0.05	0.01	0.04	0.03	0.0	0.0	0.0	0.02	0.03	0.08	0.1	0.01	0.11	0.11
FUR	0.34	0.31	0.24	0.11	0.14	0.0	0.01	0.01	0.0	0.06	0.02	0.03	0.07	0.02	0.01	0.06
