	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.31	0.19	0.0	0.07	0.0	0.04	0.42	0.26	0.0	0.0	0.0	0.1	0.01	0.03
AgaR	0.38	0.07	0.04	0.02	0.02	0.02	0.29	0.15	0.05	0.0	0.03	0.14	0.03	0.12
AmtR	0.15	0.08	0.01	0.0	0.0	0.01	0.19	0.04	0.01	0.01	0.0	0.01	0.01	0.02
AraR	0.26	0.12	0.0	0.02	0.0	0.01	0.31	0.18	0.0	0.01	0.0	0.06	0.01	0.03
ArgR	0.33	0.24	0.0	0.02	0.0	0.03	0.47	0.21	0.0	0.0	0.0	0.07	0.02	0.03
BioQ	0.25	0.17	0.0	0.01	0.0	0.02	0.37	0.19	0.0	0.0	0.0	0.12	0.05	0.07
BirA	0.37	0.27	0.01	0.02	0.0	0.03	0.48	0.25	0.0	0.0	0.0	0.11	0.0	0.02
CadR-PbrR	0.0	0.01	0.01	0.07	0.03	0.01	0.0	0.02	0.02	0.09	0.01	0.05	0.01	0.01
CblR	0.08	0.07	0.06	0.02	0.04	0.0	0.08	0.01	0.09	0.0	0.02	0.0	0.07	0.11
CcpA	0.19	0.06	0.0	0.0	0.02	0.0	0.18	0.05	0.0	0.0	0.01	0.07	0.0	0.02
CsoR	0.16	0.14	0.0	0.03	0.0	0.03	0.28	0.1	0.01	0.03	0.04	0.05	0.0	0.0
CueR	0.27	0.19	0.0	0.0	0.0	0.02	0.39	0.18	0.01	0.01	0.0	0.03	0.04	0.08
CzrA	0.34	0.26	0.01	0.02	0.0	0.02	0.52	0.26	0.0	0.0	0.0	0.03	0.0	0.01
DasR	0.16	0.25	0.01	0.01	0.0	0.06	0.34	0.14	0.0	0.0	0.0	0.03	0.09	0.03
ExuR_UxuR	0.09	0.06	0.06	0.01	0.02	0.02	0.2	0.05	0.0	0.0	0.03	0.18	0.01	0.01
FabR	0.08	0.02	0.2	0.01	0.12	0.0	0.01	0.02	0.07	0.01	0.21	0.08	0.0	0.07
FadP	0.21	0.11	0.0	0.01	0.01	0.03	0.29	0.12	0.0	0.0	0.0	0.05	0.01	0.06
FadR	0.36	0.18	0.02	0.01	0.01	0.04	0.46	0.24	0.0	0.0	0.04	0.1	0.03	0.09
FixJ	0.15	0.12	0.0	0.02	0.0	0.0	0.28	0.07	0.01	0.02	0.01	0.03	0.03	0.02
FnrN_FixK	0.16	0.54	0.02	0.02	0.01	0.14	0.32	0.42	0.01	0.02	0.07	0.04	0.01	0.03
FruR	0.35	0.22	0.0	0.03	0.01	0.06	0.45	0.24	0.0	0.0	0.01	0.11	0.11	0.11
FUR	0.37	0.18	0.01	0.01	0.01	0.03	0.44	0.19	0.0	0.01	0.03	0.12	0.01	0.06
GguR	0.03	0.01	0.01	0.01	0.01	0.01	0.04	0.03	0.06	0.04	0.04	0.0	0.0	0.0
GlcC	0.38	0.31	0.04	0.02	0.0	0.03	0.52	0.28	0.01	0.0	0.0	0.07	0.0	0.0
GntR	0.5	0.12	0.05	0.04	0.04	0.03	0.45	0.29	0.02	0.01	0.07	0.17	0.02	0.1
GulR	0.37	0.1	0.01	0.02	0.0	0.01	0.46	0.17	0.01	0.0	0.02	0.05	0.04	0.06
HcpR	0.1	0.53	0.03	0.01	0.0	0.11	0.24	0.33	0.0	0.0	0.09	0.01	0.02	0.01
HexR	0.12	0.21	0.04	0.0	0.0	0.04	0.21	0.14	0.01	0.0	0.0	0.02	0.0	0.01
HisR	0.08	0.14	0.07	0.0	0.01	0.02	0.12	0.02	0.06	0.01	0.01	0.01	0.0	0.0
HrcA	0.32	0.06	0.0	0.01	0.0	0.0	0.26	0.11	0.0	0.01	0.01	0.02	0.0	0.01
HutC	0.17	0.22	0.01	0.06	0.0	0.05	0.28	0.2	0.01	0.01	0.0	0.02	0.01	0.02
HypR	0.04	0.02	0.03	0.01	0.04	0.0	0.08	0.0	0.01	0.02	0.04	0.0	0.0	0.0
Irr	0.4	0.36	0.0	0.03	0.0	0.03	0.58	0.43	0.0	0.0	0.04	0.03	0.01	0.0
IscR	0.16	0.04	0.04	0.01	0.03	0.04	0.15	0.06	0.02	0.01	0.03	0.09	0.06	0.11
KdgR	0.41	0.2	0.01	0.02	0.01	0.04	0.46	0.22	0.0	0.0	0.03	0.16	0.01	0.07
LexA	0.01	0.03	0.05	0.0	0.0	0.0	0.05	0.0	0.02	0.01	0.0	0.03	0.04	0.09
LiuQ	0.07	0.0	0.02	0.0	0.01	0.02	0.01	0.0	0.01	0.0	0.01	0.04	0.05	0.09
LiuR	0.28	0.1	0.03	0.02	0.01	0.03	0.31	0.18	0.03	0.0	0.01	0.06	0.01	0.08
LldR	0.06	0.03	0.13	0.01	0.02	0.05	0.1	0.03	0.02	0.0	0.01	0.11	0.0	0.04
LtbR	0.07	0.03	0.0	0.01	0.0	0.0	0.06	0.0	0.01	0.04	0.0	0.04	0.0	0.01
MerR	0.25	0.16	0.0	0.02	0.0	0.02	0.34	0.12	0.0	0.0	0.0	0.08	0.0	0.02
MetJ	0.02	0.03	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.02	0.0	0.05	0.02	0.08
MetR	0.35	0.14	0.03	0.02	0.03	0.04	0.38	0.21	0.01	0.0	0.05	0.13	0.03	0.13
MntR	0.34	0.22	0.0	0.02	0.01	0.05	0.42	0.21	0.0	0.0	0.02	0.12	0.02	0.07
ModE	0.24	0.22	0.02	0.03	0.0	0.02	0.41	0.2	0.0	0.0	0.0	0.01	0.01	0.01
NadQ	0.21	0.19	0.0	0.0	0.01	0.06	0.35	0.18	0.0	0.01	0.02	0.04	0.0	0.03
NagC	0.4	0.19	0.0	0.01	0.01	0.03	0.46	0.22	0.0	0.0	0.04	0.12	0.01	0.05
NagQ	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.01
NagR	0.3	0.01	0.02	0.0	0.03	0.0	0.23	0.06	0.02	0.0	0.0	0.05	0.0	0.01
NarP	0.03	0.1	0.0	0.02	0.02	0.03	0.05	0.05	0.0	0.02	0.01	0.03	0.01	0.02
NiaR	0.17	0.05	0.0	0.01	0.0	0.01	0.17	0.09	0.01	0.0	0.02	0.08	0.0	0.01
NifA	0.23	0.21	0.02	0.01	0.0	0.04	0.38	0.2	0.0	0.01	0.0	0.02	0.0	0.01
NikR	0.0	0.04	0.04	0.0	0.0	0.01	0.02	0.0	0.02	0.01	0.0	0.01	0.03	0.0
NmlR	0.06	0.03	0.0	0.0	0.0	0.02	0.04	0.01	0.01	0.0	0.01	0.02	0.0	0.03
NnrR	0.34	0.13	0.0	0.0	0.02	0.02	0.35	0.17	0.01	0.0	0.01	0.07	0.0	0.05
NorR	0.0	0.0	0.03	0.01	0.0	0.0	0.02	0.03	0.01	0.03	0.0	0.04	0.12	0.1
NrdR	0.14	0.12	0.01	0.02	0.05	0.01	0.18	0.17	0.02	0.07	0.0	0.0	0.0	0.01
NrtR	0.38	0.27	0.0	0.02	0.0	0.05	0.5	0.26	0.0	0.0	0.01	0.1	0.01	0.05
NsrR	0.36	0.27	0.0	0.02	0.01	0.04	0.51	0.3	0.0	0.0	0.02	0.06	0.01	0.05
NtrC	0.31	0.06	0.02	0.0	0.02	0.0	0.3	0.14	0.02	0.0	0.0	0.06	0.02	0.08
PaaR	0.44	0.22	0.01	0.02	0.0	0.04	0.52	0.26	0.0	0.0	0.0	0.06	0.0	0.0
PdhR	0.05	0.03	0.05	0.01	0.01	0.0	0.04	0.08	0.03	0.01	0.0	0.0	0.01	0.0
PdxR	0.37	0.25	0.02	0.05	0.0	0.05	0.48	0.29	0.0	0.02	0.02	0.04	0.04	0.03
PhnF	0.28	0.27	0.0	0.05	0.01	0.05	0.51	0.33	0.02	0.01	0.0	0.0	0.04	0.04
PhnR	0.22	0.41	0.05	0.02	0.0	0.07	0.43	0.29	0.0	0.0	0.0	0.04	0.01	0.02
Phr	0.35	0.25	0.0	0.01	0.0	0.05	0.46	0.24	0.0	0.0	0.01	0.08	0.01	0.04
PhrR	0.32	0.24	0.05	0.01	0.0	0.01	0.39	0.18	0.0	0.0	0.0	0.02	0.0	0.0
PhsR	0.07	0.03	0.01	0.0	0.01	0.0	0.12	0.01	0.0	0.0	0.06	0.01	0.01	0.0
PrpR	0.01	0.14	0.02	0.0	0.0	0.0	0.18	0.02	0.02	0.01	0.0	0.0	0.0	0.0
PsrA	0.0	0.04	0.02	0.02	0.0	0.01	0.03	0.0	0.03	0.08	0.0	0.04	0.02	0.01
PurR	0.35	0.06	0.06	0.03	0.05	0.01	0.28	0.15	0.03	0.01	0.03	0.1	0.01	0.07
QorR	0.26	0.04	0.0	0.02	0.0	0.0	0.23	0.11	0.0	0.0	0.02	0.01	0.0	0.02
RbkR	0.29	0.18	0.0	0.01	0.01	0.05	0.37	0.18	0.01	0.0	0.0	0.13	0.01	0.07
RbsR	0.3	0.14	0.0	0.03	0.01	0.01	0.34	0.2	0.0	0.0	0.01	0.06	0.0	0.01
Rex	0.01	0.07	0.0	0.0	0.0	0.03	0.05	0.02	0.0	0.03	0.02	0.09	0.02	0.08
RutR	0.1	0.18	0.04	0.0	0.0	0.07	0.2	0.08	0.0	0.01	0.0	0.01	0.01	0.01
SahR_SamR	0.39	0.22	0.0	0.03	0.01	0.03	0.49	0.25	0.0	0.0	0.01	0.09	0.02	0.07
SdaR	0.09	0.08	0.05	0.0	0.02	0.01	0.0	0.01	0.01	0.04	0.03	0.02	0.02	0.0
SiaR	0.41	0.15	0.01	0.04	0.05	0.02	0.48	0.27	0.0	0.0	0.13	0.07	0.0	0.03
SoxR	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.04	0.03	0.0	0.01	0.02	0.01
