	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.15	0.17	0.0	0.09	0.18	0.08	0.0	0.01	0.19	0.25	0.11	0.12		
AgaR	0.26	0.38	0.05	0.18	0.06	0.04	0.09	0.02	0.03	0.21	0.02	0.01		
AmtR	0.02	0.09	0.02	0.02	0.0	0.03	0.01	0.01	0.02	0.03	0.0	0.02		
AraR	0.1	0.15	0.1	0.07	0.13	0.07	0.07	0.02	0.07	0.2	0.0	0.13		
ArgR	0.18	0.07	0.11	0.05	0.23	0.14	0.0	0.0	0.12	0.29	0.01	0.25		
BioQ	0.25	0.17	0.12	0.03	0.14	0.12	0.03	0.04	0.08	0.3	0.03	0.2		
BirA	0.13	0.0	0.07	0.01	0.12	0.16	0.03	0.02	0.04	0.16	0.0	0.17		
CadR-PbrR	0.21	0.03	0.01	0.0	0.01	0.14	0.16	0.2	0.0	0.01	0.0	0.06		
CblR	0.0	0.11	0.01	0.02	0.0	0.0	0.03	0.04	0.04	0.03	0.02	0.0		
CcpA	0.0	0.03	0.07	0.01	0.02	0.07	0.05	0.0	0.0	0.02	0.02	0.02		
CsoR	0.18	0.02	0.01	0.08	0.06	0.02	0.03	0.12	0.01	0.04	0.0	0.0		
CueR	0.45	0.12	0.01	0.1	0.21	0.09	0.01	0.03	0.07	0.3	0.03	0.13		
CzrA	0.31	0.11	0.15	0.03	0.31	0.17	0.01	0.0	0.11	0.25	0.0	0.28		
DasR	0.07	0.02	0.04	0.03	0.01	0.06	0.01	0.0	0.05	0.11	0.1	0.09		
ExuR_UxuR	0.0	0.07	0.04	0.01	0.0	0.0	0.06	0.16	0.02	0.02	0.02	0.05		
FabR	0.11	0.37	0.01	0.03	0.09	0.01	0.02	0.0	0.01	0.06	0.0	0.05		
FadP	0.01	0.09	0.01	0.03	0.1	0.0	0.02	0.0	0.05	0.14	0.01	0.1		
FadR	0.03	0.17	0.02	0.02	0.08	0.09	0.06	0.02	0.0	0.02	0.0	0.11		
FixJ	0.12	0.01	0.02	0.0	0.11	0.01	0.09	0.05	0.0	0.05	0.04	0.04		
FnrN_FixK	0.01	0.05	0.06	0.02	0.0	0.0	0.06	0.06	0.0	0.02	0.06	0.05		
FruR	0.11	0.0	0.08	0.03	0.22	0.04	0.02	0.01	0.08	0.19	0.05	0.12		
FUR	0.33	0.3	0.07	0.13	0.25	0.13	0.03	0.0	0.13	0.43	0.0	0.17		
GguR	0.13	0.01	0.02	0.0	0.0	0.01	0.14	0.12	0.03	0.01	0.01	0.02		
GlcC	0.0	0.02	0.03	0.01	0.09	0.0	0.05	0.02	0.01	0.02	0.01	0.0		
GntR	0.3	0.19	0.03	0.03	0.12	0.23	0.02	0.03	0.06	0.19	0.0	0.08		
GulR	0.24	0.36	0.03	0.17	0.26	0.05	0.03	0.01	0.1	0.34	0.04	0.02		
HcpR	0.12	0.03	0.2	0.0	0.09	0.2	0.06	0.15	0.07	0.26	0.0	0.17		
HexR	0.0	0.02	0.0	0.0	0.02	0.0	0.02	0.01	0.0	0.02	0.02	0.02		
HisR	0.0	0.03	0.01	0.04	0.05	0.0	0.01	0.04	0.01	0.03	0.07	0.08		
HrcA	0.18	0.07	0.09	0.05	0.12	0.03	0.01	0.03	0.0	0.06	0.0	0.12		
HutC	0.0	0.0	0.07	0.0	0.0	0.1	0.01	0.0	0.12	0.05	0.02	0.21		
HypR	0.0	0.0	0.01	0.0	0.0	0.03	0.04	0.07	0.16	0.04	0.02	0.15		
Irr	0.45	0.25	0.06	0.07	0.2	0.19	0.01	0.01	0.1	0.36	0.06	0.01		
IscR	0.06	0.24	0.06	0.1	0.13	0.01	0.03	0.0	0.02	0.15	0.03	0.05		
KdgR	0.18	0.02	0.04	0.08	0.05	0.14	0.01	0.0	0.08	0.22	0.02	0.13		
LexA	0.02	0.16	0.01	0.05	0.22	0.01	0.09	0.03	0.14	0.14	0.16	0.05		
LiuQ	0.08	0.0	0.02	0.0	0.0	0.07	0.01	0.03	0.04	0.03	0.09	0.04		
LiuR	0.15	0.41	0.05	0.12	0.25	0.12	0.06	0.01	0.08	0.2	0.06	0.12		
LldR	0.02	0.09	0.01	0.05	0.1	0.03	0.21	0.08	0.16	0.16	0.03	0.02		
LtbR	0.09	0.17	0.04	0.03	0.01	0.03	0.04	0.01	0.06	0.03	0.06	0.0		
