	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.25	0.29	0.15	0.2	0.08	0.02	0.0	0.04	0.01	0.02	0.03	0.03	0.05	0.02	0.07	0.06
AgaR	0.6	0.62	0.34	0.24	0.08	0.02	0.05	0.04	0.01	0.01	0.02	0.05	0.0	0.06	0.11	0.2
AmtR	0.0	0.0	0.01	0.01	0.02	0.0	0.0	0.01	0.0	0.03	0.03	0.03	0.01	0.04	0.0	0.0
AraR	0.3	0.35	0.26	0.16	0.06	0.0	0.0	0.0	0.0	0.05	0.01	0.01	0.0	0.0	0.06	0.05
ArgR	0.18	0.22	0.16	0.1	0.06	0.0	0.0	0.0	0.01	0.07	0.0	0.01	0.03	0.0	0.12	0.07
BioQ	0.18	0.24	0.16	0.11	0.03	0.01	0.0	0.0	0.01	0.05	0.0	0.01	0.0	0.0	0.12	0.06
BirA	0.08	0.08	0.06	0.04	0.02	0.0	0.01	0.0	0.0	0.08	0.0	0.06	0.03	0.0	0.04	0.06
CadR-PbrR	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.01	0.0	0.01	0.03	0.04	0.05
CblR	0.2	0.2	0.07	0.01	0.06	0.01	0.29	0.19	0.04	0.0	0.07	0.0	0.01	0.22	0.02	0.04
CcpA	0.11	0.09	0.1	0.01	0.0	0.1	0.0	0.0	0.0	0.02	0.0	0.06	0.02	0.0	0.01	0.07
CsoR	0.18	0.21	0.12	0.13	0.06	0.01	0.06	0.04	0.03	0.04	0.03	0.01	0.05	0.06	0.0	0.0
CueR	0.17	0.21	0.09	0.07	0.04	0.0	0.0	0.01	0.0	0.09	0.0	0.0	0.0	0.01	0.11	0.1
CzrA	0.19	0.25	0.2	0.09	0.06	0.01	0.0	0.0	0.01	0.07	0.0	0.0	0.03	0.01	0.04	0.01
DasR	0.02	0.01	0.0	0.01	0.0	0.04	0.09	0.03	0.0	0.08	0.05	0.0	0.0	0.05	0.19	0.07
ExuR_UxuR	0.08	0.05	0.01	0.01	0.01	0.06	0.08	0.12	0.02	0.01	0.06	0.03	0.01	0.22	0.01	0.01
FabR	0.54	0.51	0.27	0.18	0.16	0.06	0.08	0.11	0.02	0.01	0.13	0.07	0.1	0.1	0.0	0.05
FadP	0.24	0.23	0.14	0.09	0.07	0.04	0.01	0.01	0.0	0.01	0.03	0.04	0.02	0.0	0.05	0.12
FadR	0.0	0.0	0.0	0.01	0.01	0.03	0.01	0.0	0.03	0.01	0.0	0.08	0.05	0.03	0.16	0.19
FixJ	0.01	0.02	0.02	0.02	0.04	0.0	0.01	0.02	0.0	0.06	0.03	0.03	0.13	0.0	0.08	0.05
FnrN_FixK	0.02	0.02	0.0	0.0	0.02	0.0	0.14	0.05	0.01	0.01	0.01	0.02	0.08	0.16	0.15	0.05
