	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.0	0.0	0.03	0.0	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.04	0.04	0.01	0.01	0.01
AgaR	0.02	0.01	0.0	0.0	0.0	0.0	0.03	0.02	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.0
AmtR	0.12	0.09	0.12	0.01	0.01	0.01	0.08	0.01	0.1	0.02	0.04	0.02	0.03	0.0	0.0	0.02
AraR	0.06	0.01	0.16	0.0	0.03	0.05	0.07	0.0	0.06	0.0	0.06	0.05	0.05	0.02	0.03	0.03
ArgR	0.0	0.01	0.08	0.0	0.01	0.04	0.04	0.01	0.04	0.0	0.02	0.04	0.01	0.01	0.06	0.05
BioQ	0.11	0.02	0.04	0.0	0.02	0.0	0.03	0.0	0.02	0.0	0.02	0.03	0.14	0.01	0.04	0.1
BirA	0.01	0.03	0.07	0.03	0.01	0.04	0.08	0.06	0.0	0.01	0.04	0.19	0.0	0.08	0.0	0.01
CadR-PbrR	0.01	0.01	0.0	0.0	0.0	0.02	0.01	0.04	0.0	0.0	0.01	0.0	0.02	0.02	0.0	0.01
CblR	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.01	0.02	0.0	0.02	0.03	0.0
CcpA	0.02	0.01	0.01	0.04	0.01	0.01	0.01	0.02	0.0	0.07	0.0	0.04	0.07	0.01	0.0	0.0
CsoR	0.0	0.01	0.01	0.0	0.04	0.01	0.01	0.0	0.03	0.02	0.01	0.0	0.13	0.01	0.09	0.06
CueR	0.05	0.0	0.01	0.0	0.0	0.0	0.03	0.01	0.01	0.0	0.01	0.04	0.0	0.0	0.0	0.0
CzrA	0.01	0.0	0.04	0.02	0.04	0.0	0.0	0.0	0.01	0.01	0.06	0.05	0.09	0.01	0.01	0.0
DasR	0.0	0.04	0.01	0.0	0.03	0.01	0.0	0.0	0.0	0.03	0.03	0.0	0.29	0.0	0.01	0.02
ExuR_UxuR	0.04	0.0	0.06	0.0	0.01	0.02	0.01	0.0	0.01	0.03	0.04	0.02	0.01	0.0	0.02	0.06
FUR	0.13	0.02	0.14	0.0	0.03	0.02	0.04	0.0	0.05	0.0	0.01	0.18	0.06	0.0	0.04	0.07
FabR	0.02	0.0	0.03	0.01	0.0	0.02	0.03	0.06	0.0	0.0	0.1	0.0	0.01	0.01	0.01	0.03
FadP	0.01	0.02	0.02	0.0	0.0	0.0	0.03	0.01	0.01	0.0	0.0	0.02	0.0	0.01	0.02	0.01
FadR	0.01	0.0	0.01	0.01	0.01	0.02	0.04	0.02	0.0	0.08	0.05	0.0	0.11	0.02	0.0	0.01
FixJ	0.05	0.01	0.04	0.01	0.0	0.02	0.01	0.01	0.0	0.03	0.05	0.05	0.05	0.0	0.01	0.02
FnrN_FixK	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.02	0.0	0.01	0.01	0.0	0.02	0.0
FruR	0.02	0.01	0.02	0.0	0.03	0.05	0.06	0.02	0.01	0.01	0.01	0.03	0.15	0.03	0.0	0.0
GguR	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.03	0.0	0.02	0.01	0.0	0.0
GlcC	0.06	0.02	0.04	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.02	0.06	0.2	0.0	0.01	0.03
GntR	0.01	0.02	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.01	0.05	0.01	0.0	0.0
GulR	0.02	0.0	0.03	0.01	0.0	0.01	0.01	0.03	0.0	0.0	0.01	0.0	0.0	0.01	0.02	0.02
HcpR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0
HexR	0.02	0.01	0.02	0.0	0.0	0.01	0.05	0.0	0.02	0.0	0.03	0.01	0.02	0.0	0.06	0.04
HisR	0.06	0.01	0.01	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.05	0.03	0.0	0.02	0.06
HrcA	0.09	0.02	0.02	0.01	0.0	0.0	0.01	0.04	0.0	0.0	0.01	0.01	0.02	0.0	0.0	0.0
HutC	0.0	0.0	0.06	0.03	0.01	0.01	0.01	0.04	0.03	0.0	0.03	0.02	0.0	0.0	0.03	0.05
HypR	0.15	0.01	0.1	0.01	0.06	0.11	0.09	0.02	0.04	0.11	0.06	0.03	0.13	0.08	0.0	0.03
Irr	0.0	0.02	0.02	0.01	0.01	0.02	0.02	0.0	0.01	0.01	0.01	0.01	0.04	0.02	0.04	0.01
IscR	0.02	0.0	0.11	0.01	0.03	0.02	0.1	0.08	0.03	0.02	0.09	0.05	0.15	0.04	0.02	0.01
KdgR	0.07	0.01	0.16	0.0	0.04	0.03	0.03	0.01	0.04	0.01	0.07	0.07	0.1	0.0	0.0	0.03
LexA	0.05	0.0	0.02	0.02	0.0	0.01	0.0	0.04	0.0	0.0	0.0	0.06	0.0	0.0	0.01	0.0
LiuQ	0.03	0.02	0.0	0.04	0.01	0.03	0.05	0.04	0.02	0.0	0.01	0.0	0.09	0.04	0.03	0.01
LiuR	0.03	0.0	0.08	0.0	0.02	0.08	0.01	0.01	0.03	0.0	0.02	0.04	0.0	0.01	0.0	0.06
LldR	0.04	0.0	0.07	0.0	0.0	0.03	0.06	0.02	0.01	0.01	0.0	0.04	0.0	0.07	0.0	0.01
LtbR	0.05	0.01	0.01	0.01	0.0	0.02	0.0	0.0	0.01	0.01	0.0	0.03	0.02	0.01	0.01	0.0
MerR	0.02	0.01	0.01	0.02	0.0	0.01	0.01	0.0	0.0	0.07	0.01	0.0	0.0	0.0	0.0	0.02
MetJ	0.04	0.0	0.11	0.04	0.06	0.04	0.0	0.02	0.0	0.04	0.04	0.08	0.19	0.0	0.0	0.03
