	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.0	0.01	0.0	0.13	0.01	0.0	0.13	0.04	0.06	0.06	0.01	0.0	0.01	0.05		
AgaR	0.04	0.09	0.02	0.03	0.04	0.15	0.09	0.05	0.03	0.1	0.02	0.11	0.05	0.07		
AmtR	0.0	0.05	0.04	0.09	0.0	0.02	0.11	0.04	0.0	0.05	0.04	0.0	0.01	0.04		
AraR	0.12	0.02	0.05	0.05	0.0	0.1	0.09	0.09	0.02	0.05	0.0	0.01	0.01	0.08		
ArgR	0.06	0.09	0.21	0.03	0.11	0.02	0.24	0.22	0.02	0.22	0.03	0.01	0.06	0.28		
BioQ	0.21	0.14	0.04	0.04	0.17	0.0	0.02	0.01	0.01	0.06	0.02	0.03	0.09	0.02		
BirA	0.03	0.0	0.01	0.01	0.08	0.03	0.02	0.09	0.0	0.06	0.0	0.01	0.03	0.15		
CadR-PbrR	0.09	0.02	0.0	0.01	0.1	0.0	0.03	0.02	0.03	0.0	0.22	0.08	0.12	0.04		
CblR	0.08	0.02	0.12	0.02	0.07	0.01	0.01	0.04	0.06	0.04	0.0	0.0	0.13	0.08		
CcpA	0.06	0.12	0.01	0.02	0.02	0.04	0.01	0.02	0.0	0.01	0.0	0.02	0.01	0.03		
CsoR	0.05	0.0	0.0	0.02	0.09	0.0	0.26	0.04	0.1	0.01	0.18	0.05	0.17	0.03		
CueR	0.19	0.1	0.01	0.03	0.01	0.01	0.1	0.02	0.08	0.14	0.03	0.0	0.03	0.05		
CzrA	0.15	0.05	0.07	0.01	0.14	0.19	0.04	0.06	0.03	0.22	0.01	0.05	0.07	0.08		
DasR	0.07	0.08	0.09	0.02	0.28	0.0	0.16	0.2	0.02	0.22	0.04	0.04	0.24	0.25		
ExuR_UxuR	0.01	0.01	0.0	0.02	0.0	0.01	0.0	0.0	0.09	0.04	0.0	0.01	0.01	0.02		
FUR	0.18	0.15	0.04	0.09	0.18	0.01	0.03	0.01	0.0	0.18	0.01	0.08	0.07	0.05		
FabR	0.01	0.0	0.0	0.02	0.05	0.0	0.06	0.11	0.0	0.0	0.0	0.0	0.15	0.18		
FadP	0.01	0.03	0.06	0.0	0.03	0.0	0.09	0.15	0.0	0.02	0.03	0.01	0.01	0.27		
FadR	0.01	0.0	0.01	0.0	0.02	0.01	0.0	0.0	0.06	0.0	0.05	0.01	0.11	0.05		
FixJ	0.01	0.0	0.01	0.0	0.05	0.01	0.07	0.02	0.02	0.01	0.17	0.0	0.02	0.05		
FnrN_FixK	0.06	0.2	0.04	0.01	0.0	0.22	0.0	0.0	0.01	0.06	0.07	0.13	0.03	0.01		
FruR	0.19	0.23	0.03	0.07	0.09	0.14	0.02	0.0	0.07	0.17	0.0	0.11	0.04	0.01		
GguR	0.01	0.01	0.04	0.0	0.0	0.0	0.14	0.14	0.0	0.01	0.08	0.02	0.0	0.27		
GlcC	0.0	0.04	0.02	0.1	0.04	0.01	0.17	0.05	0.04	0.01	0.04	0.0	0.08	0.08		
GntR	0.02	0.0	0.0	0.04	0.02	0.02	0.0	0.03	0.06	0.06	0.0	0.13	0.03	0.06		
GulR	0.0	0.11	0.01	0.18	0.07	0.02	0.34	0.05	0.01	0.0	0.14	0.0	0.06	0.09		
HcpR	0.01	0.03	0.0	0.01	0.02	0.17	0.0	0.0	0.01	0.0	0.01	0.01	0.09	0.03		
HexR	0.03	0.01	0.0	0.0	0.02	0.01	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.0		
HisR	0.01	0.0	0.0	0.01	0.02	0.0	0.03	0.13	0.03	0.0	0.03	0.07	0.05	0.21		
HrcA	0.1	0.02	0.14	0.22	0.01	0.03	0.05	0.15	0.01	0.01	0.0	0.03	0.02	0.22		
HutC	0.04	0.0	0.2	0.03	0.1	0.07	0.01	0.05	0.09	0.11	0.0	0.02	0.03	0.01		
HypR	0.05	0.04	0.24	0.13	0.02	0.01	0.0	0.02	0.0	0.0	0.16	0.1	0.02	0.02		
Irr	0.0	0.02	0.01	0.01	0.02	0.18	0.07	0.07	0.08	0.04	0.04	0.02	0.26	0.01		
IscR	0.12	0.05	0.01	0.09	0.01	0.03	0.04	0.07	0.0	0.04	0.08	0.02	0.01	0.03		
KdgR	0.12	0.04	0.01	0.05	0.03	0.01	0.05	0.08	0.0	0.21	0.02	0.03	0.03	0.15		
LexA	0.03	0.0	0.0	0.02	0.23	0.0	0.01	0.01	0.0	0.1	0.1	0.01	0.19	0.03		
LiuQ	0.17	0.15	0.05	0.07	0.0	0.02	0.0	0.0	0.06	0.11	0.04	0.01	0.0	0.03		
LiuR	0.02	0.11	0.0	0.02	0.02	0.15	0.02	0.01	0.03	0.01	0.02	0.02	0.03	0.08		
LldR	0.02	0.0	0.01	0.0	0.05	0.0	0.01	0.0	0.03	0.04	0.0	0.15	0.03	0.01		
LtbR	0.0	0.02	0.0	0.01	0.02	0.0	0.24	0.28	0.02	0.0	0.07	0.04	0.07	0.31		
MerR	0.2	0.1	0.04	0.11	0.0	0.01	0.09	0.27	0.0	0.04	0.0	0.08	0.0	0.31		
MetJ	0.0	0.0	0.02	0.0	0.0	0.01	0.09	0.09	0.11	0.16	0.11	0.0	0.01	0.05		
MetR	0.15	0.22	0.04	0.07	0.22	0.09	0.08	0.1	0.02	0.27	0.01	0.0	0.17	0.11		
MntR	0.19	0.03	0.0	0.07	0.1	0.1	0.04	0.04	0.05	0.16	0.1	0.05	0.07	0.06		
ModE	0.01	0.07	0.08	0.06	0.02	0.05	0.27	0.27	0.03	0.12	0.04	0.0	0.0	0.28		
NadQ	0.12	0.02	0.1	0.08	0.14	0.25	0.01	0.01	0.11	0.19	0.01	0.0	0.09	0.0		
NagC	0.06	0.01	0.01	0.06	0.03	0.04	0.14	0.1	0.04	0.17	0.06	0.01	0.0	0.15		
NagQ	0.0	0.04	0.0	0.03	0.01	0.01	0.15	0.06	0.09	0.04	0.05	0.21	0.0	0.03		
NagR	0.25	0.05	0.08	0.01	0.26	0.15	0.01	0.01	0.0	0.07	0.01	0.25	0.17	0.03		
NarP	0.01	0.01	0.06	0.02	0.01	0.0	0.02	0.04	0.0	0.01	0.0	0.04	0.0	0.02		
NiaR	0.0	0.01	0.12	0.05	0.0	0.01	0.0	0.09	0.01	0.0	0.0	0.03	0.02	0.04		
NifA	0.11	0.03	0.01	0.04	0.0	0.07	0.02	0.0	0.04	0.0	0.17	0.01	0.01	0.01		
NikR	0.0	0.0	0.01	0.0	0.02	0.0	0.07	0.12	0.02	0.04	0.03	0.0	0.01	0.09		
NmlR	0.02	0.0	0.01	0.02	0.01	0.1	0.0	0.0	0.04	0.07	0.13	0.0	0.04	0.0		
NnrR	0.06	0.11	0.0	0.04	0.0	0.1	0.05	0.08	0.17	0.04	0.09	0.05	0.0	0.28		
NorR	0.0	0.08	0.03	0.02	0.02	0.13	0.04	0.03	0.01	0.0	0.14	0.06	0.01	0.08		
NrdR	0.13	0.16	0.03	0.13	0.01	0.05	0.0	0.06	0.0	0.01	0.0	0.01	0.0	0.13		
NrtR	0.17	0.02	0.03	0.03	0.04	0.14	0.0	0.0	0.06	0.16	0.07	0.26	0.07	0.0		
NsrR	0.18	0.17	0.04	0.06	0.04	0.05	0.07	0.03	0.03	0.2	0.11	0.09	0.0	0.05		
