	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.0	0.0	0.03	0.0	0.0	0.18	0.02	0.0	0.0	0.0	0.07	0.03	0.02	0.01
AgaR	0.0	0.01	0.0	0.01	0.0	0.01	0.13	0.06	0.02	0.0	0.03	0.0	0.01	0.0
AmtR	0.09	0.15	0.11	0.05	0.0	0.04	0.18	0.01	0.13	0.1	0.01	0.01	0.0	0.03
AraR	0.04	0.04	0.14	0.0	0.06	0.11	0.06	0.01	0.02	0.02	0.14	0.06	0.04	0.03
ArgR	0.02	0.01	0.08	0.0	0.01	0.06	0.03	0.0	0.02	0.01	0.01	0.09	0.13	0.08
BioQ	0.08	0.13	0.03	0.01	0.04	0.0	0.09	0.0	0.07	0.0	0.2	0.04	0.08	0.12
BirA	0.0	0.0	0.05	0.08	0.02	0.03	0.05	0.09	0.0	0.03	0.01	0.18	0.05	0.01
CadR-PbrR	0.04	0.03	0.0	0.01	0.0	0.01	0.0	0.05	0.0	0.0	0.0	0.0	0.02	0.0
CblR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.03	0.0
CcpA	0.01	0.01	0.01	0.05	0.0	0.01	0.0	0.04	0.01	0.1	0.0	0.05	0.0	0.04
CsoR	0.01	0.0	0.01	0.0	0.08	0.09	0.01	0.01	0.02	0.02	0.04	0.02	0.1	0.02
CueR	0.03	0.06	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.02	0.02	0.0
CzrA	0.02	0.01	0.05	0.0	0.07	0.0	0.03	0.03	0.01	0.0	0.12	0.12	0.0	0.01
DasR	0.0	0.01	0.03	0.01	0.04	0.03	0.0	0.0	0.0	0.05	0.09	0.05	0.02	0.02
ExuR_UxuR	0.07	0.05	0.04	0.0	0.01	0.0	0.01	0.01	0.01	0.04	0.03	0.02	0.01	0.04
FUR	0.24	0.22	0.2	0.01	0.07	0.04	0.09	0.0	0.05	0.01	0.06	0.32	0.12	0.11
FabR	0.02	0.0	0.0	0.02	0.0	0.01	0.0	0.03	0.0	0.0	0.01	0.0	0.02	0.05
FadP	0.01	0.01	0.03	0.02	0.0	0.01	0.04	0.01	0.0	0.0	0.1	0.02	0.02	0.0
FadR	0.0	0.0	0.02	0.0	0.03	0.01	0.02	0.02	0.0	0.04	0.04	0.01	0.01	0.02
FixJ	0.06	0.05	0.04	0.02	0.01	0.04	0.03	0.02	0.0	0.05	0.08	0.05	0.02	0.04
FnrN_FixK	0.04	0.01	0.05	0.0	0.01	0.07	0.01	0.02	0.0	0.07	0.02	0.04	0.02	0.0
FruR	0.02	0.0	0.02	0.03	0.03	0.09	0.09	0.0	0.03	0.0	0.1	0.01	0.03	0.06
GguR	0.0	0.0	0.0	0.0	0.02	0.05	0.0	0.02	0.01	0.01	0.07	0.02	0.0	0.0
GlcC	0.08	0.06	0.05	0.0	0.04	0.0	0.02	0.0	0.0	0.0	0.02	0.13	0.01	0.08
GntR	0.01	0.0	0.0	0.02	0.0	0.0	0.01	0.02	0.0	0.0	0.01	0.0	0.0	0.03
GulR	0.06	0.04	0.04	0.0	0.0	0.02	0.02	0.06	0.0	0.0	0.0	0.06	0.01	0.02
HcpR	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.09	0.0	0.0	0.01	0.01
HexR	0.03	0.03	0.03	0.0	0.0	0.02	0.06	0.02	0.01	0.0	0.01	0.04	0.09	0.03
HisR	0.11	0.08	0.04	0.0	0.03	0.0	0.01	0.01	0.01	0.01	0.06	0.08	0.05	0.14
HrcA	0.1	0.06	0.02	0.01	0.0	0.01	0.0	0.09	0.0	0.0	0.02	0.02	0.02	0.02
HutC	0.0	0.0	0.02	0.06	0.0	0.02	0.01	0.04	0.0	0.0	0.04	0.02	0.05	0.01
HypR	0.11	0.09	0.11	0.0	0.06	0.1	0.0	0.0	0.01	0.11	0.16	0.03	0.01	0.07
Irr	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.04	0.0	0.0	0.0	0.02	0.05	0.01
IscR	0.02	0.02	0.1	0.02	0.04	0.04	0.18	0.1	0.01	0.03	0.07	0.09	0.05	0.01
KdgR	0.09	0.08	0.28	0.08	0.09	0.16	0.14	0.03	0.05	0.07	0.22	0.15	0.06	0.08
LexA	0.09	0.03	0.01	0.02	0.0	0.06	0.01	0.11	0.0	0.0	0.0	0.02	0.03	0.01
LiuQ	0.0	0.0	0.01	0.03	0.01	0.09	0.13	0.04	0.03	0.0	0.06	0.0	0.02	0.0
LiuR	0.11	0.09	0.07	0.0	0.02	0.06	0.03	0.0	0.02	0.01	0.02	0.11	0.0	0.03
LldR	0.04	0.01	0.06	0.0	0.0	0.04	0.04	0.09	0.0	0.01	0.02	0.07	0.0	0.03
LtbR	0.05	0.01	0.01	0.01	0.01	0.02	0.03	0.04	0.0	0.03	0.0	0.03	0.0	0.0
MerR	0.03	0.01	0.0	0.01	0.0	0.07	0.0	0.0	0.0	0.09	0.03	0.0	0.0	0.04
MetJ	0.07	0.05	0.11	0.08	0.07	0.08	0.0	0.01	0.0	0.07	0.15	0.16	0.0	0.03
MetR	0.12	0.15	0.13	0.05	0.07	0.07	0.16	0.03	0.04	0.02	0.19	0.15	0.1	0.04
MntR	0.03	0.02	0.07	0.0	0.02	0.0	0.04	0.0	0.01	0.0	0.0	0.24	0.1	0.05
ModE	0.01	0.02	0.03	0.0	0.0	0.0	0.1	0.02	0.03	0.0	0.04	0.05	0.03	0.01
NadQ	0.0	0.0	0.03	0.07	0.0	0.05	0.05	0.1	0.03	0.01	0.0	0.01	0.03	0.02
NagC	0.19	0.12	0.23	0.0	0.11	0.1	0.09	0.03	0.05	0.01	0.16	0.35	0.04	0.09
NagQ	0.09	0.1	0.0	0.0	0.04	0.0	0.0	0.01	0.01	0.01	0.06	0.0	0.0	0.01
NagR	0.05	0.03	0.01	0.0	0.0	0.01	0.03	0.07	0.01	0.02	0.0	0.02	0.01	0.0
NarP	0.01	0.01	0.02	0.02	0.0	0.04	0.03	0.07	0.0	0.03	0.01	0.02	0.0	0.01
NiaR	0.0	0.01	0.0	0.01	0.0	0.0	0.02	0.08	0.01	0.01	0.0	0.0	0.04	0.04
NifA	0.0	0.0	0.03	0.01	0.03	0.04	0.0	0.02	0.0	0.04	0.05	0.0	0.0	0.0
NikR	0.01	0.0	0.07	0.0	0.02	0.03	0.02	0.04	0.0	0.0	0.04	0.1	0.01	0.02
NmlR	0.06	0.04	0.02	0.01	0.01	0.05	0.11	0.0	0.03	0.01	0.0	0.01	0.03	0.0
NnrR	0.09	0.06	0.01	0.17	0.03	0.0	0.01	0.02	0.0	0.11	0.07	0.05	0.02	0.05
NorR	0.02	0.0	0.0	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.06	0.02	0.04	0.08
NrdR	0.01	0.01	0.0	0.02	0.0	0.04	0.0	0.0	0.01	0.03	0.01	0.03	0.05	0.02
NrtR	0.04	0.03	0.08	0.01	0.03	0.01	0.06	0.01	0.01	0.0	0.02	0.13	0.14	0.08
NsrR	0.12	0.1	0.13	0.0	0.07	0.05	0.08	0.07	0.05	0.0	0.12	0.3	0.07	0.1
NtrC	0.06	0.04	0.01	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0
PaaR	0.02	0.0	0.0	0.04	0.01	0.02	0.0	0.07	0.01	0.0	0.02	0.02	0.0	0.0
PdhR	0.05	0.02	0.04	0.0	0.0	0.03	0.0	0.04	0.0	0.0	0.0	0.07	0.01	0.07
PdxR	0.06	0.05	0.01	0.0	0.0	0.04	0.0	0.01	0.0	0.0	0.0	0.02	0.01	0.06
PhnF	0.04	0.07	0.13	0.03	0.02	0.08	0.17	0.17	0.17	0.03	0.05	0.06	0.06	0.05
PhnR	0.01	0.01	0.03	0.0	0.0	0.02	0.01	0.0	0.01	0.01	0.0	0.01	0.01	0.0
Phr	0.04	0.05	0.12	0.02	0.09	0.02	0.0	0.02	0.01	0.01	0.12	0.23	0.24	0.09
PhrR	0.0	0.0	0.0	0.02	0.0	0.03	0.0	0.0	0.0	0.01	0.03	0.0	0.01	0.01
PhsR	0.11	0.14	0.11	0.01	0.08	0.03	0.04	0.01	0.0	0.01	0.18	0.12	0.01	0.0
PrpR	0.01	0.02	0.07	0.03	0.04	0.05	0.07	0.04	0.06	0.05	0.14	0.01	0.01	0.0
PsrA	0.01	0.0	0.0	0.01	0.01	0.04	0.0	0.01	0.02	0.02	0.0	0.15	0.0	0.01
PurR	0.08	0.06	0.05	0.02	0.04	0.07	0.02	0.02	0.01	0.0	0.03	0.15	0.04	0.06
QorR	0.04	0.03	0.02	0.03	0.0	0.02	0.06	0.0	0.05	0.0	0.06	0.0	0.0	0.02
RbkR	0.03	0.04	0.05	0.02	0.01	0.02	0.07	0.03	0.02	0.05	0.0	0.06	0.05	0.04
RbsR	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.03	0.02	0.05	0.0	0.02	0.01	0.0
Rex	0.02	0.01	0.04	0.01	0.0	0.0	0.03	0.02	0.04	0.02	0.01	0.06	0.04	0.03
RutR	0.0	0.0	0.0	0.06	0.01	0.02	0.0	0.0	0.0	0.02	0.04	0.0	0.02	0.0
SahR_SamR	0.08	0.11	0.18	0.11	0.04	0.11	0.11	0.02	0.06	0.03	0.09	0.18	0.12	0.06
SdaR	0.02	0.0	0.0	0.05	0.02	0.02	0.07	0.04	0.03	0.01	0.01	0.16	0.02	0.02
SiaR	0.02	0.02	0.01	0.01	0.0	0.04	0.02	0.05	0.0	0.05	0.02	0.0	0.01	0.02
SoxR	0.03	0.06	0.11	0.09	0.02	0.02	0.01	0.01	0.01	0.07	0.04	0.08	0.01	0.0
