	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.02	0.02	0.02	0.02	0.01	0.13	0.01	0.01	0.0	0.0	0.03	0.02	0.02	0.01
AgaR	0.13	0.17	0.09	0.08	0.04	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0
AmtR	0.22	0.24	0.15	0.18	0.01	0.03	0.03	0.01	0.03	0.03	0.0	0.0	0.0	0.03
AraR	0.39	0.42	0.28	0.18	0.12	0.06	0.01	0.0	0.0	0.0	0.09	0.02	0.04	0.03
ArgR	0.2	0.23	0.29	0.1	0.07	0.02	0.03	0.01	0.0	0.0	0.0	0.02	0.13	0.08
BioQ	0.07	0.09	0.04	0.0	0.0	0.0	0.22	0.04	0.03	0.0	0.06	0.0	0.08	0.12
BirA	0.08	0.1	0.07	0.09	0.04	0.02	0.0	0.01	0.0	0.01	0.0	0.09	0.05	0.01
CadR-PbrR	0.04	0.02	0.01	0.02	0.04	0.0	0.06	0.05	0.01	0.0	0.04	0.02	0.02	0.0
CblR	0.12	0.11	0.11	0.03	0.03	0.0	0.03	0.02	0.01	0.0	0.01	0.0	0.03	0.0
CcpA	0.02	0.01	0.02	0.0	0.0	0.02	0.03	0.05	0.0	0.06	0.0	0.06	0.0	0.04
CsoR	0.03	0.04	0.01	0.0	0.07	0.02	0.09	0.02	0.05	0.0	0.06	0.03	0.1	0.02
CueR	0.22	0.24	0.11	0.07	0.03	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.02	0.0
CzrA	0.26	0.31	0.18	0.11	0.12	0.0	0.01	0.0	0.0	0.02	0.03	0.01	0.0	0.01
DasR	0.05	0.09	0.07	0.04	0.11	0.03	0.01	0.01	0.0	0.08	0.09	0.01	0.02	0.02
ExuR_UxuR	0.04	0.02	0.01	0.01	0.0	0.01	0.02	0.0	0.01	0.04	0.01	0.02	0.01	0.04
FUR	0.51	0.51	0.29	0.25	0.15	0.04	0.02	0.02	0.01	0.0	0.03	0.08	0.12	0.11
FabR	0.0	0.0	0.01	0.01	0.01	0.0	0.06	0.01	0.0	0.0	0.01	0.0	0.02	0.05
FadP	0.01	0.01	0.01	0.0	0.0	0.0	0.07	0.07	0.0	0.0	0.09	0.02	0.02	0.0
