	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.07	0.0	0.02	0.0	0.0	0.06	0.03	0.03	0.01	0.03	0.01	0.03	0.03	0.02		
AgaR	0.04	0.0	0.1	0.01	0.06	0.02	0.0	0.02	0.0	0.0	0.02	0.0	0.01	0.02		
AmtR	0.01	0.02	0.07	0.09	0.04	0.02	0.05	0.02	0.01	0.07	0.05	0.05	0.03	0.02		
AraR	0.02	0.01	0.01	0.0	0.01	0.0	0.06	0.15	0.02	0.02	0.04	0.02	0.0	0.1		
ArgR	0.0	0.0	0.16	0.01	0.11	0.06	0.13	0.12	0.08	0.08	0.0	0.0	0.02	0.11		
BioQ	0.0	0.07	0.02	0.01	0.03	0.15	0.02	0.01	0.0	0.01	0.01	0.0	0.07	0.01		
BirA	0.0	0.02	0.13	0.0	0.08	0.06	0.08	0.08	0.13	0.04	0.0	0.0	0.01	0.08		
CadR-PbrR	0.06	0.07	0.01	0.0	0.14	0.1	0.02	0.06	0.04	0.13	0.16	0.03	0.31	0.05		
CblR	0.0	0.06	0.07	0.1	0.02	0.03	0.09	0.03	0.09	0.04	0.02	0.04	0.03	0.0		
CcpA	0.0	0.0	0.19	0.04	0.25	0.03	0.01	0.0	0.03	0.02	0.02	0.01	0.12	0.0		
CsoR	0.22	0.02	0.03	0.03	0.11	0.04	0.0	0.01	0.05	0.22	0.03	0.06	0.1	0.03		
CueR	0.01	0.01	0.0	0.02	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.01		
CzrA	0.0	0.0	0.16	0.03	0.07	0.04	0.0	0.0	0.02	0.0	0.0	0.07	0.03	0.0		
DasR	0.0	0.02	0.02	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.16	0.01	0.08	0.01		
ExuR_UxuR	0.0	0.0	0.07	0.0	0.02	0.01	0.04	0.06	0.01	0.01	0.02	0.0	0.02	0.03		
FUR	0.04	0.0	0.23	0.01	0.18	0.02	0.03	0.04	0.01	0.02	0.03	0.0	0.04	0.04		
FabR	0.0	0.01	0.0	0.01	0.03	0.04	0.01	0.03	0.0	0.01	0.01	0.0	0.0	0.01		
FadP	0.03	0.0	0.0	0.0	0.03	0.01	0.03	0.0	0.05	0.02	0.01	0.0	0.01	0.01		
FadR	0.01	0.01	0.0	0.22	0.03	0.04	0.06	0.09	0.08	0.04	0.0	0.04	0.01	0.03		
FixJ	0.01	0.02	0.0	0.0	0.05	0.0	0.01	0.04	0.03	0.03	0.06	0.07	0.04	0.04		
FnrN_FixK	0.0	0.0	0.37	0.0	0.0	0.01	0.0	0.0	0.02	0.01	0.02	0.02	0.0	0.0		
FruR	0.04	0.17	0.01	0.19	0.02	0.04	0.06	0.02	0.0	0.13	0.0	0.06	0.04	0.05		
GguR	0.12	0.09	0.01	0.16	0.12	0.01	0.28	0.21	0.16	0.3	0.0	0.02	0.11	0.17		
GlcC	0.06	0.12	0.0	0.31	0.06	0.03	0.16	0.08	0.02	0.01	0.06	0.03	0.13	0.07		
GntR	0.07	0.01	0.0	0.01	0.0	0.0	0.01	0.02	0.01	0.01	0.01	0.0	0.01	0.04		
GulR	0.06	0.03	0.0	0.08	0.03	0.04	0.0	0.06	0.01	0.0	0.07	0.03	0.01	0.04		
HcpR	0.01	0.02	0.0	0.0	0.0	0.04	0.05	0.07	0.06	0.08	0.0	0.02	0.01	0.06		
HexR	0.0	0.13	0.07	0.01	0.01	0.01	0.04	0.0	0.0	0.01	0.01	0.0	0.0	0.02		
HisR	0.0	0.0	0.0	0.07	0.0	0.01	0.05	0.02	0.0	0.01	0.02	0.06	0.0	0.02		
HrcA	0.03	0.02	0.08	0.01	0.04	0.01	0.05	0.04	0.0	0.0	0.0	0.03	0.0	0.03		
HutC	0.01	0.0	0.2	0.07	0.2	0.0	0.0	0.01	0.0	0.0	0.05	0.0	0.11	0.04		
HypR	0.01	0.0	0.0	0.01	0.0	0.0	0.02	0.05	0.0	0.0	0.01	0.02	0.0	0.07		
Irr	0.18	0.14	0.04	0.1	0.03	0.09	0.12	0.06	0.15	0.23	0.06	0.0	0.01	0.03		
IscR	0.09	0.07	0.03	0.01	0.0	0.03	0.05	0.0	0.01	0.05	0.04	0.0	0.03	0.06		
