	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.0	0.01	0.0	0.08	0.04	0.0	0.01	0.01	0.01	0.06	0.01	0.03	0.94	0.02	0.03	0.01
AgaR	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.03	0.0	0.01	0.07	0.0	0.0	0.01
AmtR	0.12	0.13	0.07	0.03	0.01	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.13	0.01	0.0	0.0
AraR	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.05	0.01	0.01	0.0	0.01	0.0	0.02	0.0	0.0
ArgR	0.02	0.01	0.08	0.06	0.01	0.1	0.05	0.05	0.01	0.02	0.02	0.04	0.0	0.05	0.09	0.04
BioQ	0.01	0.02	0.01	0.0	0.03	0.0	0.05	0.02	0.02	0.01	0.07	0.01	0.16	0.05	0.0	0.02
BirA	0.01	0.01	0.06	0.01	0.0	0.09	0.08	0.05	0.01	0.03	0.0	0.01	0.0	0.03	0.08	0.03
CadR-PbrR	0.09	0.06	0.01	0.0	0.0	0.01	0.01	0.07	0.0	0.09	0.0	0.0	0.02	0.0	0.05	0.06
CblR	0.03	0.08	0.17	0.01	0.13	0.11	0.09	0.23	0.1	0.0	0.16	0.1	0.39	0.08	0.03	0.07
CcpA	0.1	0.07	0.02	0.0	0.0	0.03	0.03	0.02	0.01	0.01	0.01	0.04	0.0	0.0	0.0	0.01
CsoR	0.02	0.02	0.02	0.0	0.01	0.0	0.08	0.0	0.02	0.0	0.0	0.04	0.02	0.0	0.02	0.01
CueR	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.03	0.06	0.03	0.11	0.0	0.01	0.03
CzrA	0.02	0.01	0.07	0.02	0.0	0.11	0.08	0.02	0.01	0.05	0.0	0.02	0.04	0.04	0.14	0.05
DasR	0.0	0.0	0.03	0.03	0.02	0.19	0.25	0.07	0.07	0.08	0.02	0.01	0.27	0.1	0.09	0.02
ExuR_UxuR	0.0	0.01	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.01	0.0	0.0	0.05	0.01	0.0	0.01
FUR	0.04	0.02	0.04	0.01	0.0	0.1	0.04	0.02	0.0	0.01	0.0	0.02	0.0	0.02	0.12	0.04
FabR	0.0	0.0	0.01	0.06	0.0	0.0	0.02	0.01	0.0	0.0	0.01	0.04	0.03	0.0	0.02	0.04
FadP	0.01	0.01	0.01	0.0	0.1	0.0	0.0	0.06	0.0	0.02	0.24	0.13	0.17	0.02	0.06	0.0
FadR	0.0	0.0	0.06	0.05	0.1	0.0	0.02	0.0	0.0	0.01	0.12	0.02	0.49	0.0	0.0	0.0
FixJ	0.05	0.02	0.0	0.04	0.01	0.0	0.01	0.04	0.0	0.0	0.0	0.0	0.25	0.13	0.01	0.0
FnrN_FixK	0.07	0.1	0.0	0.0	0.01	0.0	0.07	0.0	0.04	0.0	0.02	0.0	0.31	0.0	0.02	0.01
