	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.11	0.07	0.1	0.0	0.12	0.07	0.05	0.14	0.07	0.17	0.13	0.0	0.34	0.09		
AgaR	0.1	0.08	0.0	0.14	0.03	0.06	0.2	0.1	0.1	0.18	0.11	0.03	0.0	0.06		
AmtR	0.03	0.18	0.15	0.01	0.09	0.01	0.08	0.16	0.05	0.05	0.06	0.02	0.06	0.28		
AraR	0.0	0.05	0.01	0.0	0.03	0.11	0.0	0.01	0.06	0.0	0.01	0.01	0.0	0.0		
ArgR	0.0	0.02	0.02	0.03	0.2	0.06	0.06	0.06	0.19	0.13	0.05	0.02	0.14	0.04		
BioQ	0.0	0.05	0.13	0.01	0.0	0.18	0.1	0.17	0.08	0.16	0.03	0.05	0.01	0.06		
BirA	0.02	0.16	0.0	0.01	0.0	0.0	0.07	0.14	0.01	0.01	0.0	0.06	0.0	0.11		
CadR-PbrR	0.0	0.03	0.01	0.02	0.07	0.0	0.05	0.21	0.05	0.05	0.14	0.05	0.07	0.15		
CblR	0.0	0.1	0.0	0.42	0.01	0.05	0.31	0.03	0.2	0.09	0.02	0.06	0.02	0.01		
CcpA	0.03	0.0	0.1	0.13	0.0	0.03	0.09	0.03	0.01	0.0	0.0	0.1	0.03	0.04		
CsoR	0.01	0.03	0.0	0.0	0.01	0.11	0.0	0.03	0.0	0.04	0.01	0.04	0.02	0.06		
CueR	0.11	0.03	0.03	0.11	0.02	0.0	0.15	0.33	0.03	0.0	0.03	0.02	0.05	0.27		
CzrA	0.0	0.06	0.0	0.0	0.07	0.08	0.01	0.04	0.07	0.04	0.0	0.0	0.01	0.02		
DasR	0.05	0.1	0.13	0.0	0.14	0.03	0.04	0.0	0.14	0.12	0.0	0.0	0.09	0.0		
ExuR_UxuR	0.03	0.01	0.0	0.01	0.02	0.0	0.0	0.01	0.08	0.02	0.12	0.01	0.04	0.01		
FUR	0.08	0.0	0.01	0.02	0.11	0.08	0.12	0.27	0.16	0.18	0.07	0.0	0.06	0.13		
FabR	0.03	0.18	0.01	0.0	0.0	0.01	0.03	0.06	0.0	0.01	0.01	0.08	0.04	0.07		
FadP	0.06	0.15	0.09	0.09	0.01	0.01	0.0	0.16	0.0	0.01	0.08	0.04	0.02	0.1		
FadR	0.01	0.06	0.24	0.02	0.0	0.0	0.08	0.09	0.02	0.05	0.01	0.03	0.0	0.05		
FixJ	0.01	0.01	0.08	0.03	0.0	0.02	0.03	0.03	0.17	0.05	0.03	0.0	0.0	0.0		
FnrN_FixK	0.0	0.08	0.05	0.0	0.01	0.04	0.04	0.11	0.0	0.0	0.01	0.19	0.0	0.12		
FruR	0.08	0.06	0.01	0.03	0.01	0.03	0.0	0.02	0.01	0.0	0.0	0.06	0.05	0.01		
GguR	0.01	0.01	0.12	0.02	0.04	0.03	0.36	0.41	0.15	0.12	0.08	0.02	0.02	0.4		
GlcC	0.01	0.02	0.0	0.12	0.08	0.01	0.17	0.04	0.04	0.0	0.03	0.14	0.22	0.15		
