matrix_type	subsample	target_variable	shap_top_tfs
M0	srf	Polar	AgaR, LiuR, KdgR, AraR, CsoR
M0	srf	Temperature	AgaR, HrcA, LexA, RbsR, PhnR
M0	srf	Province	AgaR, HypR, CadR-PbrR, GguR, NrdR
M0	nonpolar	Layer	MetR, FnrN_FixK, QorR, ExuR_UxuR, FixJ
M0	nonpolar	Layer2	MetR, PaaR, NrtR, PdxR, GntR
M0	epi-nonpolar	NO3	FnrN_FixK, NagR, GguR, PsrA, FixJ
M0	epi-nonpolar	CarbonFlux	CblR, MntR, FadR, ThiR, FnrN_FixK
M0	epi-nonpolar	NPP	NagC, NnrR, GlcC, FabR, PdhR
M1	srf	Polar	LexA, AgaR, CsoR, PrpR, PhnF
M1	srf	Temperature	HrcA, LexA, AgaR, LiuQ, TrpR
M1	srf	Province	AgaR, LiuR, LexA, HypR, PhnF
M1	nonpolar	Layer	BirA, KdgR, FnrN_FixK, VanR, FadP
M1	nonpolar	Layer2	BirA, MerR, KdgR, GulR, IscR
M1	epi-nonpolar	NO3	GguR, FnrN_FixK, NagR, NrdR, BioQ
M1	epi-nonpolar	CarbonFlux	CsoR, NorR, ArgR, Irr, GlcC
M1	epi-nonpolar	NPP	NagC, Zur, ThiR, FnrN_FixK, PurR
stress	srf	Polar	MetR, HypR, PurR, PhnF, GulR
stress	srf	Temperature	NrdR, MetJ, PurR, AcnR, LexA
stress	srf	Province	PurR, NtrC, HutC, MetR, HcpR
stress	nonpolar	Layer	BirA, MerR, CsoR, LiuQ, PdxR
stress	nonpolar	Layer2	CsoR, BirA, MerR, LiuQ, SiaR
stress	epi-nonpolar	NO3	HutC, FadR, CblR, MetR, GguR
stress	epi-nonpolar	CarbonFlux	BioQ, AmtR, CueR, LtbR, SahR_SamR
stress	epi-nonpolar	NPP	AmtR, AgaR, LiuR, NikR, RutR
guidi	srf	Polar	SahR_SamR, Zur, GguR, FUR, PhnF
guidi	srf	Temperature	SahR_SamR, FUR, TyrR, PdxR, PhnF
guidi	srf	Province	SahR_SamR, PhnF, KdgR, TyrR, AraR
guidi	nonpolar	Layer	NagC, PhnF, ArgR, PdxR, NrtR
guidi	nonpolar	Layer2	ArgR, NifA, FixJ, NrtR, Rex
guidi	epi-nonpolar	NO3	NmlR, GguR, NadQ, HisR, LldR
guidi	epi-nonpolar	CarbonFlux	SahR_SamR, NnrR, AmtR, TyrR, XylR
guidi	epi-nonpolar	NPP	FabR, FadR, CueR, FixJ, MerR
salazar	srf	Polar	Irr, BirA, MetR, LiuQ, PdhR
salazar	srf	Temperature	Irr, AgaR, NagQ, NmlR, CcpA
salazar	srf	Province	FadR, FabR, GulR, PsrA, CueR
salazar	nonpolar	Layer	LiuQ, KdgR, LtbR, NifA, NmlR
salazar	nonpolar	Layer2	NifA, KdgR, AcnR, Irr, NmlR
salazar	epi-nonpolar	NO3	GlcC, GntR, GulR, HcpR, HexR
salazar	epi-nonpolar	CarbonFlux	CueR, PhnR, DasR, PurR, NifA
salazar	epi-nonpolar	NPP	NadQ, LtbR, NmlR, PrpR, NnrR
MX	srf	Polar	PurR, AgaR, VanR, FadR, HcpR
MX	srf	Temperature	AgaR, FabR, PurR, LiuQ, ExuR_UxuR
MX	srf	Province	AgaR, ExuR_UxuR, FabR, LldR, TrpR
MX	nonpolar	Layer	GlcC, CadR-PbrR, FadR, PhnR, NrdR
MX	nonpolar	Layer2	GlcC, PaaR, GntR, TtrR, FadR
MX	epi-nonpolar	NO3	NagQ, GlcC, GntR, GulR, HcpR
MX	epi-nonpolar	CarbonFlux	IscR, FadP, NorR, TrpR, AmtR
MX	epi-nonpolar	NPP	MetR, PurR, LiuQ, PhsR, RbkR
