matrix_type	target_variable	list_top_tfs	correlated_tfs
M0	Polar	AgaR, LiuR, KdgR, AraR, TyrR	{'AgaR': ['SahR_SamR', 'NtrC', 'FUR', 'NagC', 'NnrR'], 'LiuR': ['SahR_SamR', 'AgaR', 'MetR', 'NagC', 'FUR'], 'KdgR': ['NagC', 'FUR', 'ThiR', 'MetR', 'NrtR'], 'AraR': ['CzrA', 'Zur', 'SahR_SamR', 'NsrR', 'ArgR'], 'TyrR': ['TrpR', 'ModE', 'DasR', 'FruR', 'NifA']}
M0	Temperature	AgaR, HrcA, LexA, RbsR, PhnR	{'AgaR': ['SahR_SamR', 'NtrC', 'FUR', 'NagC', 'NnrR'], 'HrcA': ['NtrC', 'KdgR', 'MetR', 'SahR_SamR', 'NnrR'], 'LexA': ['LiuR', 'GguR', 'FabR', 'SoxR', 'NarP'], 'RbsR': ['CzrA', 'Phr', 'NsrR', 'NrtR', 'IscR'], 'PhnR': ['NadQ', 'MerR', 'PdhR', 'AcnR', 'NagC']}
M0	Province	AgaR, HypR, CadR-PbrR, NrdR, GguR	{'AgaR': ['SahR_SamR', 'NtrC', 'FUR', 'NagC', 'NnrR'], 'HypR': ['FabR', 'PsrA', 'GlcC', 'TtrR', 'LtbR'], 'CadR-PbrR': ['LiuQ', 'FixJ', 'HutC', 'GlcC', 'TrpR'], 'NrdR': ['LldR', 'BioQ', 'NagR', 'NsrR', 'Zur'], 'GguR': ['LiuR', 'AgaR', 'FabR', 'NtrC', 'NnrR']}
M0	Layer	MetR, FnrN_FixK, ExuR_UxuR, FixJ, PdxR	{'MetR': ['FUR', 'KdgR', 'ThiR', 'NagC', 'NrtR'], 'FnrN_FixK': ['MntR', 'Phr', 'NnrR', 'NagC', 'ThiR'], 'ExuR_UxuR': ['NarP', 'LexA', 'HrcA', 'PdxR', 'Irr'], 'FixJ': ['NsrR', 'SahR_SamR', 'ArgR', 'NrtR', 'NagC'], 'PdxR': ['NsrR', 'ArgR', 'SahR_SamR', 'NagC', 'GntR']}
M0	Layer2	MetR, PaaR, NrtR, PdxR, GntR	{'MetR': ['FUR', 'KdgR', 'ThiR', 'NagC', 'NrtR'], 'PaaR': ['BirA', 'SahR_SamR', 'CzrA', 'ArgR', 'KdgR'], 'NrtR': ['NagC', 'MntR', 'ArgR', 'Phr', 'FUR'], 'PdxR': ['NsrR', 'ArgR', 'SahR_SamR', 'NagC', 'GntR'], 'GntR': ['MetR', 'NagC', 'KdgR', 'FUR', 'SahR_SamR']}
M0	NO3	BioQ, AmtR, NagR, NorR, NnrR	{'BioQ': ['NrtR', 'MntR', 'Zur', 'SahR_SamR', 'KdgR'], 'AmtR': ['VanR', 'NorR', 'BioQ', 'CadR-PbrR', 'HcpR'], 'NagR': ['PhnF', 'NrdR', 'HutC', 'RbsR', 'LldR'], 'NorR': ['NagC', 'ThiR', 'MetR', 'KdgR', 'MntR'], 'NnrR': ['FUR', 'Zur', 'ThiR', 'IscR', 'NrtR']}
M0	CarbonFlux	GlcC, ThiR, MntR, FadR, SdaR	{'GlcC': ['Phr', 'MntR', 'XylR', 'BirA', 'NrtR'], 'ThiR': ['NagC', 'MntR', 'FUR', 'NrtR', 'SahR_SamR'], 'MntR': ['NrtR', 'NagC', 'FUR', 'ThiR', 'ArgR'], 'FadR': ['MetR', 'NrtR', 'NtrC', 'RbkR', 'NsrR'], 'SdaR': ['TyrR', 'RutR', 'DasR', 'FabR', 'NiaR']}
M0	NPP	NagC, FabR, NtrC, VanR, NorR	{'NagC': ['NrtR', 'ThiR', 'MntR', 'FUR', 'KdgR'], 'FabR': ['GntR', 'IscR', 'NtrC', 'FadR', 'LiuR'], 'NtrC': ['NrtR', 'IscR', 'NagC', 'KdgR', 'NnrR'], 'VanR': ['HisR', 'PdxR', 'DasR', 'MntR', 'TrpR'], 'NorR': ['NagC', 'ThiR', 'MetR', 'KdgR', 'MntR']}
M1	Polar	LexA, AgaR, CsoR, PrpR, PurR	{'LexA': ['AgaR', 'GguR', 'LiuR', 'FabR', 'HexR'], 'AgaR': ['SahR_SamR', 'NtrC', 'LiuR', 'NnrR', 'FUR'], 'CsoR': ['PhnF', 'FabR', 'AgaR', 'NadQ', 'NagC'], 'PrpR': ['MetR', 'KdgR', 'NagC', 'SahR_SamR', 'XylR'], 'PurR': ['LiuR', 'Irr', 'GguR', 'SiaR', 'CzrA']}
M1	Temperature	HrcA, LexA, AgaR, TrpR, LiuQ	{'HrcA': ['NtrC', 'KdgR', 'AgaR', 'MetR', 'XylR'], 'LexA': ['AgaR', 'GguR', 'LiuR', 'FabR', 'HexR'], 'AgaR': ['SahR_SamR', 'NtrC', 'LiuR', 'NnrR', 'FUR'], 'TrpR': ['AcnR', 'BirA', 'HutC', 'DasR', 'FadP'], 'LiuQ': ['CcpA', 'TrpR', 'PdxR', 'SoxR', 'NarP']}
